time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/entropy_loss,train/n_updates,train/learning_rate,train/value_loss,train/policy_loss,train/explained_variance,resources/cpu_percent,resources/memory_mb
1,2048,464,4,,,,,,,,
2,4096,419,9,-1.0985960960388184,1,0.0003,3644.37841796875,-54.88322067260742,-0.0004334449768066406,,
3,6144,401,15,-1.0979772806167603,2,0.0003,4530.50537109375,-70.80284118652344,0.004028618335723877,3.6,14305.21484375
4,8192,387,21,-1.098494291305542,3,0.0003,37790.125,-135.60862731933594,0.0003942251205444336,,
5,10240,376,27,-1.0984690189361572,4,0.0003,13693.0,-128.32260131835938,-0.004567503929138184,8.2,14036.8125
6,12288,361,34,-1.098508358001709,5,0.0003,13670.7900390625,-128.18783569335938,-0.011231541633605957,,
7,14336,353,40,-1.097801923751831,6,0.0003,13656.71484375,-127.9505615234375,-0.01345062255859375,,
8,16384,341,48,-1.0980098247528076,7,0.0003,13630.0859375,-127.88837432861328,-0.015197038650512695,1.8,14035.75390625
9,18432,328,56,-1.0982792377471924,8,0.0003,13621.396484375,-127.94390869140625,0.014057397842407227,,
10,20480,315,64,-1.0980916023254395,9,0.0003,13612.931640625,-127.99838256835938,-0.008784651756286621,3.6,14259.2265625
11,22528,307,73,-1.097597599029541,10,0.0003,13618.7509765625,-127.89879608154297,-0.015609145164489746,,
12,24576,299,81,-1.097545862197876,11,0.0003,13611.7685546875,-127.86174011230469,0.008144676685333252,,
13,26624,291,91,-1.0972356796264648,12,0.0003,13594.833984375,-128.08187866210938,0.01037532091140747,1.9,14188.71484375
