time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/value_loss,train/explained_variance,train/n_updates,train/policy_loss,train/learning_rate,resources/memory_mb,resources/cpu_percent
8192,1,6,1211,,,,,,,,
16384,2,13,1200,-1.0985901355743408,187025.6875,-3.1113624572753906e-05,1,-125.22415924072266,0.0003,,
24576,3,20,1179,-1.0984797477722168,29162.68359375,0.00020325183868408203,2,-122.41414642333984,0.0003,10069.7578125,0.0
32768,4,28,1133,-1.0984416007995605,18057.8359375,-0.0005599260330200195,3,-129.44290161132812,0.0003,,
40960,5,38,1071,-1.0980194807052612,13636.951171875,-0.0007264614105224609,4,-127.9620590209961,0.0003,10451.02734375,4.1
49152,6,47,1035,-1.098212718963623,13606.392578125,-0.0024106502532958984,5,-127.85684204101562,0.0003,,
57344,7,57,1005,-1.098294973373413,13589.318359375,-0.010290741920471191,6,-127.7200698852539,0.0003,,
65536,8,67,965,-1.0984351634979248,13567.751953125,0.00017404556274414062,7,-127.73252868652344,0.0003,10342.55859375,2.1
73728,9,79,932,-1.098136305809021,13567.798828125,0.005823731422424316,8,-127.68114471435547,0.0003,,
81920,10,91,895,-1.097970962524414,13553.322265625,0.00035762786865234375,9,-127.5838623046875,0.0003,10441.21875,7.1
90112,11,104,860,-1.0979044437408447,13536.60546875,0.0019047260284423828,10,-127.57514190673828,0.0003,,
98304,12,118,830,-1.0973505973815918,13531.28515625,0.010006070137023926,11,-127.42337799072266,0.0003,,
106496,13,133,799,-1.0968713760375977,13527.341796875,-0.0045206546783447266,12,-127.29263305664062,0.0003,10418.5078125,17.2
114688,14,148,772,-1.0971992015838623,13508.958984375,0.0009274482727050781,13,-127.25041198730469,0.0003,,
122880,15,165,742,-1.0974042415618896,13504.2275390625,0.011910080909729004,14,-127.27793884277344,0.0003,10574.37890625,0.0
131072,16,182,717,-1.0972743034362793,13499.380859375,-0.0031478404998779297,15,-127.1766357421875,0.0003,,
139264,17,200,694,-1.0977481603622437,13492.841796875,0.004035353660583496,16,-127.21673583984375,0.0003,,
147456,18,220,670,-1.098130702972412,13484.0625,-0.0009915828704833984,17,-127.25381469726562,0.0003,10499.84375,1.8
155648,19,239,649,-1.0981154441833496,13487.376953125,-0.00452876091003418,18,-127.32272338867188,0.0003,,
163840,20,260,628,-1.0978899002075195,13508.978515625,0.004077792167663574,19,-127.43873596191406,0.0003,10564.64453125,20.4
172032,21,282,609,-1.097676157951355,13514.095703125,0.008489489555358887,20,-127.30357360839844,0.0003,,
180224,22,304,591,-1.097970962524414,13501.0341796875,-0.0017468929290771484,21,-127.36656188964844,0.0003,10601.046875,0.0
188416,23,327,575,-1.0973186492919922,13520.3583984375,0.0009367465972900391,22,-127.32209777832031,0.0003,,
196608,24,351,559,-1.097637414932251,13514.1962890625,-0.0022013187408447266,23,-127.40991973876953,0.0003,,
204800,25,376,544,-1.0973451137542725,13522.310546875,0.004072129726409912,24,-127.42510986328125,0.0003,10588.0234375,20.8
212992,26,402,529,-1.0964345932006836,13529.53515625,-0.00043141841888427734,25,-127.2049331665039,0.0003,,
221184,27,428,515,-1.0973560810089111,13516.775390625,-0.0042313337326049805,26,-127.36595916748047,0.0003,10599.91796875,0.0
229376,28,455,503,-1.0969130992889404,13521.34375,0.0004470348358154297,27,-127.25013732910156,0.0003,,
237568,29,483,491,-1.0970780849456787,13517.267578125,0.0027360916137695312,28,-127.29013061523438,0.0003,,
245760,30,512,479,-1.097163438796997,13503.271484375,-0.002264261245727539,29,-127.35984802246094,0.0003,10629.66796875,12.5
253952,31,543,467,-1.0964744091033936,13507.501953125,0.001679062843322754,30,-127.17666625976562,0.0003,,
262144,32,576,454,-1.0965747833251953,13501.94921875,-0.0022646188735961914,31,-127.27733612060547,0.0003,10987.21484375,15.8
270336,33,609,443,-1.09561026096344,13499.685546875,-0.0008779764175415039,32,-127.24425506591797,0.0003,,
278528,34,643,432,-1.093764305114746,13500.818359375,-0.004292607307434082,33,-127.03632354736328,0.0003,,
286720,35,676,423,-1.0919921398162842,13496.697265625,-0.004569053649902344,34,-126.85574340820312,0.0003,11101.6640625,7.1
294912,36,710,414,-1.0914260149002075,13488.900390625,-0.002390623092651367,35,-126.51228332519531,0.0003,,
303104,37,745,406,-1.0917216539382935,13497.880859375,-0.0005548000335693359,36,-126.6234130859375,0.0003,10980.48828125,7.1
311296,38,780,398,-1.0923466682434082,13495.341796875,-0.002310037612915039,37,-126.31373596191406,0.0003,,
319488,39,817,391,-1.0940784215927124,13480.03125,0.00174635648727417,38,-126.69279479980469,0.0003,,
327680,40,856,382,-1.0946192741394043,13484.447265625,-0.0025453567504882812,39,-126.86769104003906,0.0003,11022.69921875,10.2
335872,41,896,374,-1.0947623252868652,13471.1396484375,0.004699289798736572,40,-126.68450927734375,0.0003,,
344064,42,938,366,-1.0958330631256104,13459.177734375,-0.004743099212646484,41,-126.98599243164062,0.0003,11378.734375,32.7
