time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/entropy_loss,train/value_loss,train/learning_rate,train/policy_loss,train/n_updates,train/explained_variance,resources/cpu_percent,resources/memory_mb
1,2048,4,456,,,,,,,,
2,4096,9,441,-1.0985853672027588,314096.03125,0.0001,-178.4361114501953,1,8.940696716308594e-07,,
3,6144,14,426,-1.098315954208374,13719.6953125,0.0001,-128.4443359375,2,-0.006390929222106934,0.0,10764.70703125
4,8192,21,387,-1.0981800556182861,13701.6337890625,0.0001,-128.31134033203125,3,0.004623830318450928,,
5,10240,28,354,-1.0981701612472534,13686.662109375,0.0001,-128.32264709472656,4,-0.013778090476989746,31.2,11033.26953125
6,12288,35,341,-1.0978214740753174,13674.61328125,0.0001,-128.14170837402344,5,0.004011750221252441,,
7,14336,42,336,-1.0978407859802246,13649.525390625,0.0001,-128.09799194335938,6,0.007636904716491699,,
8,16384,49,328,-1.0976225137710571,13654.232421875,0.0001,-128.01824951171875,7,0.002802729606628418,3.6,10914.66015625
9,18432,57,320,-1.0976004600524902,13641.982421875,0.0001,-127.93419647216797,8,-0.010502815246582031,,
10,20480,65,312,-1.097503423690796,13628.328125,0.0001,-127.85554504394531,9,-0.009047865867614746,0.0,10829.046875
11,22528,73,304,-1.0974880456924438,13611.568359375,0.0001,-127.77751922607422,10,-0.008305549621582031,,
12,24576,83,295,-1.0975236892700195,13594.3046875,0.0001,-128.01499938964844,11,0.007431685924530029,,
13,26624,93,286,-1.0966558456420898,13596.7880859375,0.0001,-127.45849609375,12,-0.014079928398132324,3.6,11021.59765625
14,28672,102,279,-1.0974223613739014,13580.818359375,0.0001,-127.68606567382812,13,-0.008356571197509766,,
15,30720,113,271,-1.0972503423690796,13575.806640625,0.0001,-127.52861785888672,14,-0.00529170036315918,4.2,10764.1953125
16,32768,123,264,-1.0975298881530762,13572.67578125,0.0001,-127.52879333496094,15,-0.007170915603637695,,
17,34816,134,258,-1.097806453704834,13548.45703125,0.0001,-127.71353149414062,16,0.00500941276550293,,
18,36864,147,250,-1.0973848104476929,13610.953125,0.0001,-127.71135711669922,17,-0.008427858352661133,6.2,10659.2109375
19,38912,159,243,-1.097489833831787,13596.673828125,0.0001,-127.88201141357422,18,-0.00423431396484375,,
20,40960,172,237,-1.0955162048339844,13592.18359375,0.0001,-127.7469711303711,19,-0.001972675323486328,10.7,10847.046875
21,43008,185,231,-1.0952019691467285,13584.275390625,0.0001,-127.35284423828125,20,-0.008257508277893066,,
22,45056,200,225,-1.0953700542449951,13580.33203125,0.0001,-127.46693420410156,21,-0.004267334938049316,7.0,10777.0390625
23,47104,215,218,-1.0953174829483032,13581.90234375,0.0001,-127.26899719238281,22,-0.0033801794052124023,,
24,49152,230,213,-1.095848798751831,13562.693359375,0.0001,-127.64708709716797,23,-0.010313868522644043,,
25,51200,246,207,-1.0950713157653809,13556.998046875,0.0001,-127.1552734375,24,0.001977860927581787,2.1,10878.66015625
26,53248,263,201,-1.0951975584030151,13562.23046875,0.0001,-127.10675048828125,25,0.0024543404579162598,,
27,55296,281,196,-1.096391201019287,13550.326171875,0.0001,-127.55242919921875,26,0.004912912845611572,2.1,10896.3828125
28,57344,299,191,-1.0959663391113281,13537.8212890625,0.0001,-127.62899780273438,27,0.009866416454315186,,
29,59392,317,187,-1.0954762697219849,13550.392578125,0.0001,-127.05496215820312,28,0.003576338291168213,,
30,61440,337,182,-1.0960336923599243,13547.224609375,0.0001,-127.60539245605469,29,-0.0034836530685424805,0.0,10863.96484375
31,63488,356,177,-1.0945401191711426,13539.6181640625,0.0001,-127.26834106445312,30,-0.011815190315246582,,
32,65536,377,173,-1.0939143896102905,13491.11328125,0.0001,-126.85372924804688,31,0.0028471946716308594,2.1,10717.2109375
33,67584,398,169,-1.0938447713851929,13543.7734375,0.0001,-126.79541015625,32,-0.0043637752532958984,,
34,69632,420,165,-1.0946946144104004,13537.427734375,0.0001,-127.4429931640625,33,-0.00681912899017334,,
35,71680,442,161,-1.093876838684082,13535.884765625,0.0001,-126.92555236816406,34,0.022724032402038574,10.4,10827.69140625
36,73728,466,158,-1.0940320491790771,13537.66015625,0.0001,-126.8200912475586,35,-0.0061397552490234375,,
37,75776,490,154,-1.0944669246673584,13525.54296875,0.0001,-127.02137756347656,36,-0.010030627250671387,1.8,10804.765625
38,77824,515,151,-1.094379186630249,13522.05078125,0.0001,-127.16217041015625,37,-0.0030595064163208008,,
39,79872,540,147,-1.0931200981140137,13507.529296875,0.0001,-127.0799789428711,38,0.002278149127960205,,
40,81920,566,144,-1.092057228088379,13501.498046875,0.0001,-126.69857788085938,39,-0.004666328430175781,0.0,10876.8515625
41,83968,593,141,-1.0919862985610962,13502.326171875,0.0001,-125.96441650390625,40,0.008196830749511719,,
42,86016,620,138,-1.0945727825164795,13500.724609375,0.0001,-127.16523742675781,41,0.015390574932098389,2.1,10742.953125
