time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/n_updates,train/value_loss,train/explained_variance,train/entropy_loss,train/policy_loss,train/learning_rate,resources/memory_mb,resources/cpu_percent
4,2048,464,1,,,,,,,,
9,4096,448,2,1,30.226451873779297,-0.012355804443359375,-1.0985920429229736,-1.9182114601135254,0.0001,,
14,6144,430,3,2,1.8566720485687256,-29.2177734375,-1.098444938659668,-1.33851957321167,0.0001,10909.68359375,8.9
19,8192,417,4,3,1.6846225261688232,-29.776700973510742,-1.0984878540039062,-1.2614734172821045,0.0001,,
25,10240,400,5,4,1.5311920642852783,-22.20609474182129,-1.0981745719909668,-1.1797840595245361,0.0001,10913.3515625,0.0
31,12288,387,6,5,1.3993699550628662,-12.379135131835938,-1.0982487201690674,-1.122998595237732,0.0001,,
38,14336,374,7,6,1.2938084602355957,-9.967178344726562,-1.0985121726989746,-1.0724273920059204,0.0001,,
45,16384,358,8,7,1.1899573802947998,-13.206045150756836,-1.0984947681427002,-1.0252776145935059,0.0001,10921.0,4.2
53,18432,347,9,8,1.092905044555664,-7.309425354003906,-1.0983585119247437,-0.9691338539123535,0.0001,,
60,20480,335,10,9,1.0641231536865234,-4.7052693367004395,-1.0983247756958008,-0.9219709634780884,0.0001,10912.90625,0.0
69,22528,325,11,10,0.9061610102653503,-4.626829624176025,-1.0978217124938965,-0.8332507610321045,0.0001,,
77,24576,315,12,11,0.8468341827392578,-4.401558876037598,-1.0978693962097168,-0.7901209592819214,0.0001,,
87,26624,305,13,12,0.7887848615646362,-4.068999767303467,-1.0981385707855225,-0.7357785701751709,0.0001,10835.4140625,0.0
96,28672,296,14,13,0.8112545609474182,-2.6366748809814453,-1.0980124473571777,-0.72016441822052,0.0001,,
107,30720,286,15,14,0.7336198687553406,-2.8395516872406006,-1.0979442596435547,-0.6826687455177307,0.0001,10942.76171875,0.0
117,32768,278,16,15,0.7599558234214783,-2.694895029067993,-1.0980080366134644,-0.6976200342178345,0.0001,,
128,34816,270,17,16,0.7599778175354004,-2.4267945289611816,-1.098052978515625,-0.6793965101242065,0.0001,,
140,36864,262,18,17,0.7160215377807617,-2.7110564708709717,-1.0980656147003174,-0.6528857946395874,0.0001,10952.65625,29.2
152,38912,254,19,18,0.8363709449768066,-1.8436288833618164,-1.0981321334838867,-0.6579681634902954,0.0001,,
166,40960,246,20,19,0.7641226053237915,-1.5513324737548828,-1.0979981422424316,-0.6283841133117676,0.0001,10850.1875,0.0
179,43008,239,21,20,0.7244459390640259,-1.012646198272705,-1.097710132598877,-0.6201825737953186,0.0001,,
193,45056,233,22,21,0.7450566291809082,-2.069310188293457,-1.0978608131408691,-0.6293764710426331,0.0001,10925.80859375,5.5
207,47104,226,23,22,0.7480096220970154,-1.9586660861968994,-1.0978713035583496,-0.6139791011810303,0.0001,,
223,49152,220,24,23,0.6738194823265076,-2.2402660846710205,-1.097787618637085,-0.5481038689613342,0.0001,,
239,51200,214,25,24,0.6592209339141846,-1.0302155017852783,-1.0978991985321045,-0.5524128079414368,0.0001,10935.20703125,2.1
255,53248,208,26,25,0.7578094005584717,-1.9666495323181152,-1.0980592966079712,-0.5512656569480896,0.0001,,
272,55296,202,27,26,0.7044693231582642,-1.4419560432434082,-1.0980782508850098,-0.5286731719970703,0.0001,10821.98828125,0.0
290,57344,197,28,27,0.6490539312362671,-1.1706082820892334,-1.0980384349822998,-0.4938699007034302,0.0001,,
308,59392,192,29,28,0.6198234558105469,-0.9159849882125854,-1.0981037616729736,-0.5065131187438965,0.0001,,
328,61440,187,30,29,0.5852534770965576,-0.25819456577301025,-1.0981489419937134,-0.45759671926498413,0.0001,10934.68359375,3.5
348,63488,182,31,30,0.6984051465988159,-0.9557664394378662,-1.0982112884521484,-0.5182713270187378,0.0001,,
368,65536,177,32,31,0.6342184543609619,-2.5406837463378906,-1.0982165336608887,-0.4873195290565491,0.0001,10954.7265625,27.5
389,67584,173,33,32,0.6203835606575012,-1.2512054443359375,-1.0982187986373901,-0.4874885380268097,0.0001,,
411,69632,169,34,33,0.6801308393478394,-1.7189621925354004,-1.0982476472854614,-0.49352240562438965,0.0001,,
434,71680,165,35,34,0.6601861715316772,-1.0139493942260742,-1.0981979370117188,-0.47766417264938354,0.0001,10983.44921875,8.9
460,73728,160,36,35,0.5961517691612244,-1.8638482093811035,-1.0981438159942627,-0.481805682182312,0.0001,,
