time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/explained_variance,train/entropy_loss,train/value_loss,train/n_updates,train/learning_rate,train/policy_loss,resources/cpu_percent,resources/memory_mb
2048,5,403,1,,,,,,,,
4096,10,382,2,-1.2082009315490723,-1.0986063480377197,0.6239578723907471,1,0.0001,-0.6535962820053101,,
6144,17,347,3,-0.05065810680389404,-1.0984125137329102,4.800321578979492,2,0.0001,-1.2607769966125488,92.6,12134.58984375
8192,24,331,4,-8.394733428955078,-1.0983725786209106,1.3023592233657837,3,0.0001,-1.1715328693389893,,
10240,31,323,5,-5.0642991065979,-1.0984323024749756,1.2403137683868408,4,0.0001,-1.1264026165008545,6.1,12031.5546875
12288,38,320,6,-5.126992702484131,-1.0984292030334473,1.2240091562271118,5,0.0001,-1.096901535987854,,
14336,45,314,7,-6.364192008972168,-1.0984761714935303,1.1701161861419678,6,0.0001,-1.0662448406219482,,
16384,53,307,8,-5.668229579925537,-1.0984259843826294,1.1273242235183716,7,0.0001,-1.0221035480499268,0.0,12032.87109375
18432,61,300,9,-3.710482597351074,-1.0983974933624268,1.1068806648254395,8,0.0001,-0.9941970705986023,,
20480,70,292,10,-4.135062217712402,-1.0984604358673096,1.1394399404525757,9,0.0001,-0.981543779373169,5.4,11773.23828125
22528,79,284,11,-4.830316066741943,-1.098473310470581,1.071669340133667,10,0.0001,-0.9420725703239441,,
24576,88,277,12,-2.1626040935516357,-1.0985065698623657,0.9894120097160339,11,0.0001,-0.8848874568939209,,
26624,98,269,13,-2.726067543029785,-1.0984916687011719,1.023209571838379,12,0.0001,-0.872292697429657,0.0,11914.390625
28672,109,262,14,-3.2903923988342285,-1.0984909534454346,1.0613179206848145,13,0.0001,-0.8510691523551941,,
30720,122,250,15,-2.5933544635772705,-1.0984996557235718,1.0408878326416016,14,0.0001,-0.8200194239616394,77.0,11875.8671875
32768,135,241,16,-2.3634867668151855,-1.098479986190796,1.0624514818191528,15,0.0001,-0.800082802772522,,
34816,149,232,17,-2.4586939811706543,-1.098466157913208,0.9771021604537964,16,0.0001,-0.7393736839294434,,
36864,162,226,18,-3.4833574295043945,-1.0984749794006348,0.9414252638816833,17,0.0001,-0.7115925550460815,20.4,11964.328125
38912,175,221,19,-4.279693126678467,-1.0984668731689453,0.8135387301445007,18,0.0001,-0.6461678743362427,,
40960,190,215,20,-3.6482996940612793,-1.0984718799591064,0.9400920867919922,19,0.0001,-0.6434863805770874,1.8,11857.77734375
43008,206,208,21,-1.565054178237915,-1.0984785556793213,0.8704134821891785,20,0.0001,-0.5956026315689087,,
45056,223,201,22,-3.645479679107666,-1.0985015630722046,0.8851009607315063,21,0.0001,-0.5908575057983398,7.1,11926.07421875
47104,239,196,23,-1.580847978591919,-1.098449468612671,0.8620415925979614,22,0.0001,-0.5296996831893921,,
49152,255,192,24,-1.5505316257476807,-1.0984524488449097,0.8637189865112305,23,0.0001,-0.5197180509567261,,
51200,272,187,25,-2.2480251789093018,-1.0984399318695068,0.7557569742202759,24,0.0001,-0.4422563910484314,12.5,11861.265625
53248,290,183,26,-2.2070586681365967,-1.0983667373657227,0.6801899671554565,25,0.0001,-0.37955957651138306,,
55296,307,179,27,-2.411057949066162,-1.0983524322509766,0.7836257219314575,26,0.0001,-0.41454893350601196,14.3,11908.01953125
57344,326,175,28,-1.5683181285858154,-1.098388671875,0.6831130981445312,27,0.0001,-0.3745480179786682,,
59392,345,171,29,-4.692620754241943,-1.09834885597229,0.7118369340896606,28,0.0001,-0.354106605052948,,
61440,366,167,30,-1.8571503162384033,-1.0983995199203491,0.7639658451080322,29,0.0001,-0.33756691217422485,3.6,11865.16796875
63488,387,164,31,-0.71549391746521,-1.0984054803848267,1.173846960067749,30,0.0001,-0.3830544352531433,,
65536,408,160,32,-0.7309651374816895,-1.098372459411621,1.0161476135253906,31,0.0001,-0.3280167877674103,4.2,11991.47265625
67584,430,157,33,-0.6589621305465698,-1.098397970199585,0.7638882398605347,32,0.0001,-0.2969936728477478,,
69632,453,153,34,-1.6088566780090332,-1.0983567237854004,0.7241761088371277,33,0.0001,-0.2431408315896988,,
71680,477,150,35,-7.066337585449219,-1.0984323024749756,0.5517600774765015,34,0.0001,-0.20845966041088104,0.0,11865.71484375
73728,501,146,36,-1.1364798545837402,-1.0984185934066772,0.6719944477081299,35,0.0001,-0.2028064727783203,,
75776,527,143,37,-1.3031480312347412,-1.0984047651290894,0.6654489636421204,36,0.0001,-0.1706821471452713,0.0,11886.97265625
77824,552,140,38,-2.399303913116455,-1.0983986854553223,0.6246960163116455,37,0.0001,-0.1806682050228119,,
79872,580,137,39,-1.456725835800171,-1.0984063148498535,0.688126802444458,38,0.0001,-0.18846119940280914,,
