time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/explained_variance,train/value_loss,train/policy_loss,train/learning_rate,train/n_updates,train/entropy_loss,resources/cpu_percent,resources/memory_mb
2048,5,1,384,,,,,,,,
4096,11,2,368,-1.3948488235473633,0.5110799670219421,-0.5546340942382812,0.0001,1,-1.0986053943634033,,
6144,17,3,360,-4.283568859100342,0.633777379989624,-0.7229006290435791,0.0001,2,-1.098444938659668,8.3,12107.1328125
8192,23,4,352,-0.09857070446014404,2.911618709564209,-1.1944866180419922,0.0001,3,-1.0984082221984863,,
10240,29,5,342,-5.381680011749268,1.1789746284484863,-1.0446572303771973,0.0001,4,-1.098498821258545,0.0,12054.4765625
12288,36,6,333,-5.780389308929443,1.1211246252059937,-0.9901019930839539,0.0001,5,-1.0984609127044678,,
14336,44,7,324,-7.096599578857422,1.0522428750991821,-0.9169868230819702,0.0001,6,-1.0983762741088867,,
16384,51,8,315,-4.489048004150391,1.0790716409683228,-0.8859513998031616,0.0001,7,-1.0983988046646118,1.8,12070.7109375
18432,60,9,306,-2.939394235610962,1.0865566730499268,-0.8240856528282166,0.0001,8,-1.098336935043335,,
20480,69,10,296,-4.445971488952637,1.054093360900879,-0.8087477087974548,0.0001,9,-1.0983774662017822,8.8,11804.7578125
22528,78,11,288,-2.7777929306030273,1.0341403484344482,-0.7223495244979858,0.0001,10,-1.098341941833496,,
24576,87,12,280,-4.275198936462402,1.0627472400665283,-0.7257754802703857,0.0001,11,-1.0983363389968872,,
26624,97,13,271,-2.786452531814575,0.9596189856529236,-0.6447809338569641,0.0001,12,-1.0982431173324585,8.9,11983.73828125
28672,108,14,264,-3.4721388816833496,1.0576093196868896,-0.6191312074661255,0.0001,13,-1.0982873439788818,,
30720,119,15,256,-2.8768131732940674,0.9358662962913513,-0.5364010334014893,0.0001,14,-1.0982657670974731,7.1,11956.828125
32768,131,16,249,-3.104524612426758,0.9542068243026733,-0.5022588968276978,0.0001,15,-1.0982029438018799,,
34816,143,17,242,-3.070341110229492,1.0260334014892578,-0.4801488220691681,0.0001,16,-1.0982424020767212,,
36864,156,18,235,-2.0360865592956543,1.1168122291564941,-0.4491649866104126,0.0001,17,-1.0982542037963867,6.2,12023.296875
38912,169,19,229,-3.1450228691101074,1.0868628025054932,-0.4218708872795105,0.0001,18,-1.0982611179351807,,
40960,183,20,223,-2.3238162994384766,1.1335258483886719,-0.3630935549736023,0.0001,19,-1.098187804222107,5.4,12002.34375
43008,197,21,217,-3.9441280364990234,0.9194498062133789,-0.33648473024368286,0.0001,20,-1.0982322692871094,,
45056,213,22,211,-3.0183959007263184,0.970950186252594,-0.26673632860183716,0.0001,21,-1.0981345176696777,8.3,11972.328125
47104,228,23,206,-0.9693583250045776,1.1977567672729492,-0.2860029935836792,0.0001,22,-1.0981732606887817,,
49152,244,24,200,-3.5858964920043945,0.9617437124252319,-0.26880115270614624,0.0001,23,-1.097881555557251,,
51200,261,25,195,-3.689587116241455,0.779119610786438,-0.1881733387708664,0.0001,24,-1.0978995561599731,17.5,11919.21875
53248,279,26,190,-2.562018871307373,0.8650031089782715,-0.18945612013339996,0.0001,25,-1.097861647605896,,
55296,297,27,185,-1.9464573860168457,0.9882935881614685,-0.1549968421459198,0.0001,26,-1.0978302955627441,10.4,11623.46875
57344,316,28,181,-2.844839096069336,1.1158545017242432,-0.23004202544689178,0.0001,27,-1.0979201793670654,,
59392,335,29,176,-1.9617903232574463,1.0453572273254395,-0.21643191576004028,0.0001,28,-1.0980658531188965,,
61440,356,30,172,-1.4398260116577148,0.933707594871521,-0.17795322835445404,0.0001,29,-1.0980587005615234,18.4,11752.421875
63488,379,31,167,-1.9714229106903076,0.9648985862731934,-0.18764780461788177,0.0001,30,-1.097902774810791,,
65536,401,32,163,-1.1195271015167236,0.8958927392959595,-0.16583698987960815,0.0001,31,-1.0978984832763672,20.8,11676.78515625
67584,423,33,159,-1.174226999282837,0.9655275940895081,-0.16365057229995728,0.0001,32,-1.0979646444320679,,
69632,446,34,155,-2.0571646690368652,0.798169732093811,-0.16227754950523376,0.0001,33,-1.097865104675293,,
71680,470,35,152,-3.7865047454833984,0.7886090278625488,-0.16067248582839966,0.0001,34,-1.0979790687561035,5.3,11847.93359375
73728,494,36,149,-1.6864697933197021,0.8729530572891235,-0.1422816812992096,0.0001,35,-1.0979795455932617,,
75776,520,37,145,-4.507834434509277,0.7789750695228577,-0.14614298939704895,0.0001,36,-1.0977885723114014,3.6,11616.38671875
77824,546,38,142,-3.2149486541748047,0.6156485676765442,-0.09488732367753983,0.0001,37,-1.0976536273956299,,
79872,573,39,139,-3.3072595596313477,0.570813000202179,-0.10084755718708038,0.0001,38,-1.0976817607879639,,
81920,600,40,136,-6.712550640106201,0.5086519718170166,-0.08873286843299866,0.0001,39,-1.097679853439331,2.1,11641.515625
83968,628,41,133,-3.3797988891601562,0.5957161784172058,-0.0978914201259613,0.0001,40,-1.097785234451294,,
86016,657,42,130,-5.447527885437012,0.5478671789169312,-0.08351439237594604,0.0001,41,-1.097388744354248,0.0,11745.3671875
88064,687,43,128,-0.6075724363327026,0.9148926138877869,-0.15394306182861328,0.0001,42,-1.097411870956421,,
90112,718,44,125,-1.919538974761963,0.618374228477478,-0.14750158786773682,0.0001,43,-1.0975260734558105,3.6,11531.09765625
92160,749,45,122,-2.2655141353607178,0.7538887858390808,-0.1209508404135704,0.0001,44,-1.0975136756896973,,
94208,781,46,120,-1.4770662784576416,0.6273850202560425,-0.10833341628313065,0.0001,45,-1.0974839925765991,,
96256,814,47,118,-0.8175250291824341,0.757533073425293,-0.12306949496269226,0.0001,46,-1.09739089012146,3.6,11534.109375
98304,847,48,115,-4.138925075531006,0.5714331865310669,-0.11269642412662506,0.0001,47,-1.0974966287612915,,
100352,882,49,113,-1.9166157245635986,0.6583290100097656,-0.0900026336312294,0.0001,48,-1.0976366996765137,1.8,11640.89453125
102400,917,50,111,-1.943284273147583,0.7167975902557373,-0.17571324110031128,0.0001,49,-1.097586750984192,,
104448,954,51,109,-1.272608995437622,0.7558791637420654,-0.1072688177227974,0.0001,50,-1.097497820854187,,
106496,991,52,107,-3.260772705078125,0.5307857990264893,-0.11979464441537857,0.0001,51,-1.0976163148880005,0.0,11551.82421875
108544,1028,53,105,-1.6401863098144531,0.6304881572723389,-0.1173311322927475,0.0001,52,-1.0975744724273682,,
