time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/explained_variance,train/value_loss,train/learning_rate,train/policy_loss,train/n_updates,train/entropy_loss,resources/memory_mb,resources/cpu_percent
934,1,1,1024,,,,,,,,
1055,2,1,2048,-0.4555490016937256,0.42500248551368713,0.0002,-0.41527262330055237,1,-1.0986037254333496,,
1260,3,2,3072,-0.1975388526916504,0.40228980779647827,0.0002,-0.3820577561855316,2,-1.0968159437179565,,
1388,4,2,4096,0.1205708384513855,0.35837608575820923,0.0002,-0.21007272601127625,3,-1.0946192741394043,,
1479,5,3,5120,0.011183857917785645,63.620391845703125,0.0002,-1.3913488388061523,4,-1.0920608043670654,,
1544,6,3,6144,-0.036424875259399414,60.73890686035156,0.0002,-1.698285460472107,5,-1.091914176940918,,
1588,7,4,7168,-0.6249932050704956,0.6846521496772766,0.0002,-0.09264549612998962,6,-1.090498447418213,,
1619,8,5,8192,-0.012437939643859863,101.92703247070312,0.0002,-2.5303642749786377,7,-1.0879048109054565,,
1646,9,5,9216,-0.14000201225280762,0.6944828033447266,0.0002,-0.23203040659427643,8,-1.0892775058746338,,
1664,10,6,10240,-0.014986634254455566,99.02549743652344,0.0002,-2.834003448486328,9,-1.0906977653503418,,
1686,11,6,11264,-0.06231856346130371,0.8288343548774719,0.0002,-0.23452255129814148,10,-1.0911498069763184,,
1706,12,7,12288,-0.05424690246582031,38.89269256591797,0.0002,-1.3616943359375,11,-1.0879968404769897,,
1723,13,7,13312,-0.032379984855651855,1.0514709949493408,0.0002,-0.3769601285457611,12,-1.087946891784668,,
1735,14,8,14336,-0.0044400691986083984,1.007591962814331,0.0002,-0.2201024293899536,13,-1.0881006717681885,,
1747,15,8,15360,-0.1431182622909546,0.7291946411132812,0.0002,-0.09295335412025452,14,-1.0873204469680786,,
1750,16,9,16384,0.06280899047851562,0.7480639219284058,0.0002,-0.17439980804920197,15,-1.089123249053955,,
1758,17,9,17408,0.0800277590751648,0.7097594738006592,0.0002,0.0020351381972432137,16,-1.0908324718475342,,
1763,18,10,18432,-0.05248582363128662,0.8290518522262573,0.0002,-0.24913270771503448,17,-1.0910687446594238,,
1747,19,11,19456,0.058157145977020264,0.859052300453186,0.0002,-0.025218356400728226,18,-1.0904226303100586,,
1735,20,11,20480,-0.24297869205474854,0.7721340656280518,0.0002,-0.25770998001098633,19,-1.0895944833755493,,
1723,21,12,21504,-0.3204491138458252,0.7276676893234253,0.0002,-0.025854991748929024,20,-1.0879154205322266,,
1711,22,13,22528,0.0020899176597595215,0.5931801199913025,0.0002,-0.17198532819747925,21,-1.0875740051269531,,
1690,23,13,23552,0.0282515287399292,0.6680595278739929,0.0002,-0.12448990345001221,22,-1.0894415378570557,,
1685,24,14,24576,-0.6898640394210815,0.673146665096283,0.0002,-0.1834113895893097,23,-1.0905611515045166,,
1688,25,15,25600,-0.4911724328994751,0.7524093389511108,0.0002,-0.05731579661369324,24,-1.0904053449630737,,
1693,26,15,26624,-0.028221964836120605,0.636044979095459,0.0002,-0.09992150962352753,25,-1.0904600620269775,,
1696,27,16,27648,-0.545332670211792,0.612037181854248,0.0002,-0.22872331738471985,26,-1.0912857055664062,,
1694,28,16,28672,0.12457156181335449,0.6080349087715149,0.0002,-0.0708066001534462,27,-1.0905253887176514,,
1696,29,17,29696,0.026463449001312256,0.5014302730560303,0.0002,-0.07509277760982513,28,-1.0909327268600464,,
1698,30,18,30720,-0.5004321336746216,0.41957032680511475,0.0002,-0.16258005797863007,29,-1.0904898643493652,,
1697,31,18,31744,0.31414520740509033,0.4661323130130768,0.0002,-0.05595368146896362,30,-1.0899746417999268,,
1685,32,19,32768,-0.22908294200897217,0.5107427835464478,0.0002,-0.09142707288265228,31,-1.089752435684204,,
1670,33,20,33792,0.026384472846984863,0.5460007190704346,0.0002,-0.1215108186006546,32,-1.0902833938598633,,
1660,34,20,34816,-0.13995349407196045,0.4866034984588623,0.0002,-0.014477766118943691,33,-1.0897921323776245,,
1651,35,21,35840,-0.6504136323928833,0.38916558027267456,0.0002,-0.15134409070014954,34,-1.089943528175354,,
1650,36,22,36864,-0.8584245443344116,0.795082688331604,0.0002,-0.16228517889976501,35,-1.0906122922897339,,
1648,37,22,37888,-0.2448345422744751,0.4312449097633362,0.0002,-0.17230571806430817,36,-1.0903607606887817,,
1647,38,23,38912,-0.2658078670501709,0.44352710247039795,0.0002,-0.09927968680858612,37,-1.091212511062622,,
1645,39,24,39936,-1.3207831382751465,0.31930190324783325,0.0002,-0.08471833914518356,38,-1.0921194553375244,,
1636,40,25,40960,-0.7845101356506348,0.2710188031196594,0.0002,-0.07913155853748322,39,-1.0912482738494873,13429.10546875,8.3
1635,41,25,41984,-0.35018718242645264,0.4029163122177124,0.0002,0.04564590007066727,40,-1.0912660360336304,,
1634,42,26,43008,0.16982543468475342,0.43464308977127075,0.0002,-0.032724201679229736,41,-1.0913996696472168,,
1631,43,26,44032,-0.6040725708007812,0.5667867064476013,0.0002,-0.09335359930992126,42,-1.0928353071212769,,
1629,44,27,45056,-0.05011928081512451,0.5562546253204346,0.0002,-0.02427462488412857,43,-1.0922528505325317,,
1627,45,28,46080,-0.26193058490753174,0.43322521448135376,0.0002,-0.19670405983924866,44,-1.091998815536499,,
1623,46,29,47104,-0.20564520359039307,0.2895066738128662,0.0002,-0.11008721590042114,45,-1.0922752618789673,,
1620,47,29,48128,-0.25174081325531006,0.2549728751182556,0.0002,-0.023055341094732285,46,-1.09244966506958,,
1616,48,30,49152,-0.7707017660140991,0.191401869058609,0.0002,-0.11064957827329636,47,-1.0922582149505615,,
1614,49,31,50176,-0.2752265930175781,0.22603483498096466,0.0002,-0.055390194058418274,48,-1.0926989316940308,,
1610,50,31,51200,-0.34520041942596436,0.21815311908721924,0.0002,-0.08006216585636139,49,-1.092975378036499,,
1606,51,32,52224,-0.13940632343292236,0.22838202118873596,0.0002,0.04205215722322464,50,-1.0925981998443604,,
1602,52,33,53248,-0.5349513292312622,0.3447473347187042,0.0002,-0.09485886991024017,51,-1.0929151773452759,,
1599,53,33,54272,-1.103902816772461,0.17665988206863403,0.0002,-0.0751061663031578,52,-1.0924044847488403,,
1596,54,34,55296,-1.155982494354248,0.1906607747077942,0.0002,-0.04363434016704559,53,-1.0925887823104858,,
1592,55,35,56320,-0.39808690547943115,0.3726842701435089,0.0002,-0.13167276978492737,54,-1.0929745435714722,,
1589,56,36,57344,-1.0758779048919678,0.20079153776168823,0.0002,-0.03691185265779495,55,-1.0927280187606812,,
1586,57,36,58368,-2.261611223220825,0.20327982306480408,0.0002,-0.08496004343032837,56,-1.093459129333496,,
1582,58,37,59392,-0.8308126926422119,0.23351892828941345,0.0002,-0.011187351308763027,57,-1.0933692455291748,,
1572,59,38,60416,-0.11781704425811768,1.137195110321045,0.0002,-0.2869659662246704,58,-1.093414545059204,,
1568,60,39,61440,-0.9219480752944946,0.18899613618850708,0.0002,-0.03802129626274109,59,-1.0929954051971436,,
1564,61,39,62464,-2.223383665084839,0.148220032453537,0.0002,-0.024448003619909286,60,-1.0929200649261475,,
1560,62,40,63488,-2.509618043899536,0.25348132848739624,0.0002,-0.11848802119493484,61,-1.0926299095153809,,
1557,63,41,64512,-1.9526565074920654,0.11687272042036057,0.0002,-0.028382040560245514,62,-1.0922744274139404,,
1553,64,42,65536,-0.98875892162323,0.33758655190467834,0.0002,-0.0675414577126503,63,-1.0928713083267212,,
1548,65,42,66560,-3.7015366554260254,0.0846310555934906,0.0002,-0.03447466343641281,64,-1.0919970273971558,,
1544,66,43,67584,-1.8649108409881592,0.16284236311912537,0.0002,-0.05121435225009918,65,-1.0923616886138916,,
1537,67,44,68608,-3.471184253692627,0.10468244552612305,0.0002,-0.03566750884056091,66,-1.0922062397003174,,
1529,68,45,69632,-3.8042473793029785,0.10929515957832336,0.0002,-0.030438117682933807,67,-1.0922703742980957,,
1526,69,46,70656,-2.4380266666412354,0.08255945891141891,0.0002,-0.053253330290317535,68,-1.0926553010940552,,
1524,70,47,71680,-3.9208498001098633,0.10029441863298416,0.0002,-0.007758590392768383,69,-1.0925333499908447,,
1523,71,47,72704,-1.522031545639038,0.23887477815151215,0.0002,-0.04182702675461769,70,-1.092460036277771,,
1521,72,48,73728,-4.266047954559326,0.08255913853645325,0.0002,-0.0443941205739975,71,-1.0924626588821411,,
1518,73,49,74752,-1.6025094985961914,0.14581629633903503,0.0002,-0.0585443452000618,72,-1.0922595262527466,,
1513,74,50,75776,-0.6831319332122803,0.1458762139081955,0.0002,0.00431097112596035,73,-1.0927807092666626,,
1508,75,50,76800,-3.0570316314697266,0.14307817816734314,0.0002,-0.05245720222592354,74,-1.0928235054016113,,
1504,76,51,77824,-1.4287598133087158,0.16402916610240936,0.0002,-0.026056349277496338,75,-1.0927085876464844,,
1499,77,52,78848,-1.770353078842163,0.08247657120227814,0.0002,-0.040613871067762375,76,-1.0921058654785156,,
1495,78,53,79872,-2.6168198585510254,0.062063008546829224,0.0002,-0.03294709324836731,77,-1.0926220417022705,,
1488,79,54,80896,-5.876877307891846,0.07827837765216827,0.0002,-0.022319892421364784,78,-1.0920206308364868,13314.08984375,14.0
