time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/explained_variance,train/entropy_loss,train/learning_rate,train/n_updates,train/value_loss,train/policy_loss,resources/cpu_percent,resources/memory_mb
1,1024,969,1,,,,,,,,
1,2048,1121,2,0.010047852993011475,-1.0986073017120361,0.0002,1,85.16830444335938,-2.4338555335998535,,
2,3072,1312,3,-0.0196382999420166,-1.0945035219192505,0.0002,2,68.77550506591797,-1.771275520324707,,
2,4096,1431,4,0.33154499530792236,-1.0869920253753662,0.0002,3,0.9589952826499939,0.20218071341514587,,
3,5120,1517,5,0.2683548927307129,-1.087761402130127,0.0002,4,0.5223460793495178,-0.15659792721271515,,
3,6144,1551,6,0.13626205921173096,-1.085218906402588,0.0002,5,0.5355697870254517,-0.09852992743253708,,
4,7168,1577,7,0.2488207221031189,-1.0634214878082275,0.0002,6,0.4457520842552185,0.01628435030579567,,
5,8192,1597,8,-0.018326282501220703,-1.0394586324691772,0.0002,7,54.88431930541992,-1.6427353620529175,,
5,9216,1631,9,0.4191870093345642,-1.0289517641067505,0.0002,8,0.6358795166015625,0.05314857140183449,,
6,10240,1660,10,-0.14886057376861572,-1.0105873346328735,0.0002,9,0.44909802079200745,-0.18773901462554932,,
6,11264,1680,11,0.029338598251342773,-1.0038959980010986,0.0002,10,38.32537078857422,-1.2026958465576172,,
7,12288,1701,12,-0.12201297283172607,-0.9871929287910461,0.0002,11,0.7012340426445007,0.03239516541361809,,
7,13312,1718,13,0.4758983254432678,-0.9845153093338013,0.0002,12,0.3665279746055603,-0.13559912145137787,,
8,14336,1730,14,0.3388565182685852,-0.9892569780349731,0.0002,13,0.5826643705368042,-0.21115946769714355,,
8,15360,1742,15,0.024935662746429443,-0.9815526008605957,0.0002,14,40.529510498046875,-1.0235811471939087,,
9,16384,1756,16,0.06003844738006592,-0.9667869806289673,0.0002,15,29.72515106201172,-1.1313060522079468,,
9,17408,1764,17,0.5564978718757629,-0.9354581236839294,0.0002,16,0.6928204298019409,0.07680647075176239,,
10,18432,1775,18,0.2481347918510437,-0.9425094127655029,0.0002,17,0.6198218464851379,-0.06359408050775528,,
10,19456,1780,19,0.6062750220298767,-0.8959435820579529,0.0002,18,0.5072721242904663,-0.15383845567703247,,
11,20480,1785,20,0.539490133523941,-0.8890979290008545,0.0002,19,0.533600926399231,-0.114098459482193,,
12,21504,1790,21,0.5115744769573212,-0.8360364437103271,0.0002,20,0.5061477422714233,-0.03884192183613777,,
12,22528,1792,22,0.5830524265766144,-0.8708202838897705,0.0002,21,0.48322224617004395,-0.13409629464149475,,
13,23552,1766,23,0.4891889691352844,-0.8360142111778259,0.0002,22,0.5858860015869141,-0.014900659210979939,,
13,24576,1770,24,0.5500413775444031,-0.8822673559188843,0.0002,23,0.4909888207912445,-0.16533294320106506,,
14,25600,1772,25,0.5059714317321777,-0.841310977935791,0.0002,24,0.4790979325771332,-0.05863252282142639,,
14,26624,1775,26,-0.15612530708312988,-0.8712141513824463,0.0002,25,14.451261520385742,-0.8148341178894043,,
15,27648,1778,27,0.2820942997932434,-0.8649120330810547,0.0002,26,0.5266599655151367,-0.09079022705554962,,
16,28672,1779,28,-0.3972564935684204,-0.8741887807846069,0.0002,27,0.44056206941604614,-0.1793093979358673,,
16,29696,1780,29,-0.24868285655975342,-0.9002357721328735,0.0002,28,0.369016170501709,-0.03543147072196007,,
17,30720,1781,30,-0.005811333656311035,-0.9306915998458862,0.0002,29,8.448189735412598,-0.4734117388725281,,
17,31744,1781,31,0.25320184230804443,-0.9025266170501709,0.0002,30,0.3748423457145691,-0.08663719892501831,,
18,32768,1782,32,-1.1191809177398682,-0.8952025175094604,0.0002,31,0.38105741143226624,-0.1978076994419098,,
18,33792,1783,33,-0.31592226028442383,-0.8746293187141418,0.0002,32,0.5120241641998291,-0.14110125601291656,,
19,34816,1783,34,-0.39392077922821045,-0.8611429929733276,0.0002,33,0.3226885199546814,-0.06870173662900925,,
20,35840,1782,35,-1.2360854148864746,-0.8971680402755737,0.0002,34,0.2343178689479828,-0.056930556893348694,,
