time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/policy_loss,train/n_updates,train/value_loss,train/learning_rate,train/explained_variance,train/entropy_loss,resources/memory_mb,resources/cpu_percent
1294,1,1,2048,,,,,,,,
1516,2,2,4096,-1.7268184423446655,1,68.28243255615234,0.0002,-0.0005128383636474609,-1.0986077785491943,,
1727,3,3,6144,-0.36026260256767273,2,0.5199814438819885,0.0002,0.0010030269622802734,-1.0963220596313477,,
1856,4,4,8192,-0.23832763731479645,3,0.5036990642547607,0.0002,-0.26737117767333984,-1.094622254371643,,
1933,5,5,10240,-0.726320743560791,4,30.030467987060547,0.0002,0.022135138511657715,-1.0896258354187012,,
2007,6,6,12288,0.23828747868537903,5,0.9323461055755615,0.0002,-0.05918478965759277,-1.0890378952026367,,
2048,7,6,14336,0.06073490530252457,6,0.5651051998138428,0.0002,-0.29549527168273926,-1.0854909420013428,,
2080,8,7,16384,-0.7759943008422852,7,26.172393798828125,0.0002,0.030063152313232422,-1.0849016904830933,,
2115,9,8,18432,-0.4331357479095459,8,19.124374389648438,0.0002,-0.005704522132873535,-1.0842151641845703,,
2134,10,9,20480,-1.7667231559753418,9,61.365848541259766,0.0002,0.0020734667778015137,-1.0821949243545532,,
2144,11,10,22528,-0.06130041182041168,10,0.7907190322875977,0.0002,-0.21302688121795654,-1.0764703750610352,,
2107,12,11,24576,-0.6590397953987122,11,16.29867172241211,0.0002,-0.0571136474609375,-1.0667344331741333,,
2095,13,12,26624,-0.4609435498714447,12,15.215761184692383,0.0002,-0.005019664764404297,-1.0644621849060059,,
2109,14,13,28672,-0.5284631252288818,13,15.500635147094727,0.0002,-0.012120604515075684,-1.0562973022460938,,
2124,15,14,30720,-0.14817778766155243,14,1.109354019165039,0.0002,-0.973220944404602,-1.0568169355392456,,
2121,16,15,32768,-0.02450275607407093,15,0.829251229763031,0.0002,-1.1826379299163818,-1.0431797504425049,,
2122,17,16,34816,-0.17806686460971832,16,0.7564282417297363,0.0002,-1.1423687934875488,-1.0353343486785889,,
2126,18,17,36864,-0.1362304985523224,17,0.807722806930542,0.0002,-2.2121481895446777,-1.048507809638977,,
2130,19,18,38912,-0.09061411768198013,18,0.7116692066192627,0.0002,-2.219240665435791,-1.0396859645843506,,
2128,20,19,40960,-0.14269647002220154,19,0.6132357120513916,0.0002,-0.6624561548233032,-1.0413711071014404,,
2125,21,20,43008,-0.10143622756004333,20,0.5537596940994263,0.0002,-0.8319741487503052,-1.0257810354232788,,
2119,22,21,45056,-0.582714855670929,21,9.72834300994873,0.0002,-0.04774892330169678,-1.031951904296875,,
2122,23,22,47104,-0.12147445976734161,22,0.7225879430770874,0.0002,-1.3106765747070312,-1.0339550971984863,,
2127,24,23,49152,-0.058522652834653854,23,0.5708473920822144,0.0002,-1.0056958198547363,-1.0470967292785645,,
2133,25,24,51200,-0.6454740762710571,24,10.648876190185547,0.0002,-0.014614462852478027,-1.0428764820098877,,
2134,26,24,53248,-0.18836799263954163,25,0.6031852960586548,0.0002,-1.3102879524230957,-1.0401787757873535,,
2131,27,25,55296,-0.18082889914512634,26,0.5712893605232239,0.0002,-1.5434489250183105,-1.0362844467163086,,
2129,28,26,57344,-0.07342854142189026,27,0.6055195331573486,0.0002,-0.8124310970306396,-1.0349211692810059,,
2116,29,28,59392,-0.10828195512294769,28,0.6054450273513794,0.0002,-1.1954765319824219,-1.0393108129501343,,
2110,30,29,61440,-0.17989960312843323,29,0.5779111385345459,0.0002,-1.383251428604126,-1.0397038459777832,,
2110,31,30,63488,-0.14600685238838196,30,0.4856910705566406,0.0002,-1.8754708766937256,-1.0426714420318604,,
2111,32,31,65536,-0.035535164177417755,31,0.5310524702072144,0.0002,-1.2042782306671143,-1.0470921993255615,,
2105,33,32,67584,-0.12688536942005157,32,0.41829541325569153,0.0002,-1.891847848892212,-1.0379018783569336,,
2099,34,33,69632,-0.05818086117506027,33,0.404307097196579,0.0002,-1.562105417251587,-1.03557550907135,,
2093,35,34,71680,-0.10781966149806976,34,0.36061397194862366,0.0002,-1.0173377990722656,-1.03170645236969,,
2089,36,35,73728,-0.12264709174633026,35,0.359878808259964,0.0002,-2.1406784057617188,-1.034325122833252,,
2085,37,36,75776,-0.03582083806395531,36,0.34939759969711304,0.0002,-1.1118674278259277,-1.035832166671753,,
2080,38,37,77824,-0.15389810502529144,37,0.3669952154159546,0.0002,-1.1346557140350342,-1.0397038459777832,,
2074,39,38,79872,-0.38814759254455566,38,4.5354180335998535,0.0002,-0.03917205333709717,-1.0393869876861572,,
2059,40,39,81920,-0.05924547463655472,39,0.3762536346912384,0.0002,-1.1658260822296143,-1.0394675731658936,12822.4453125,19.3
2047,41,41,83968,-0.10291870683431625,40,0.32287055253982544,0.0002,-3.3365139961242676,-1.0499916076660156,,
2038,42,42,86016,-0.07694995403289795,41,0.25728023052215576,0.0002,-1.6896893978118896,-1.0525918006896973,,
2033,43,43,88064,-0.06410142779350281,42,0.2635810971260071,0.0002,-3.3798580169677734,-1.0560383796691895,,
2028,44,44,90112,-0.08214491605758667,43,0.1850740611553192,0.0002,-4.70412015914917,-1.0606811046600342,,
2018,45,45,92160,-0.3096091151237488,44,3.3852591514587402,0.0002,-0.02950310707092285,-1.0645393133163452,,
2013,46,46,94208,-0.01482087466865778,45,0.22079993784427643,0.0002,-1.7462599277496338,-1.0605998039245605,,
2009,47,47,96256,-0.0666462704539299,46,0.16403847932815552,0.0002,-1.7032382488250732,-1.058000087738037,,
1996,48,49,98304,-0.013149021193385124,47,0.18789315223693848,0.0002,-1.2061967849731445,-1.0645242929458618,,
1993,49,50,100352,-0.09227460622787476,48,0.12054874747991562,0.0002,-2.383269786834717,-1.0652447938919067,,
1988,50,51,102400,-0.04374254494905472,49,0.102632537484169,0.0002,-3.027031421661377,-1.064041256904602,,
1979,51,52,104448,-0.03973514959216118,50,0.1421070545911789,0.0002,-3.5650691986083984,-1.0649710893630981,,
1970,52,54,106496,-0.035450439900159836,51,0.10861299932003021,0.0002,-1.8094356060028076,-1.0611602067947388,,
1962,53,55,108544,-0.031150126829743385,52,0.1384788155555725,0.0002,-2.3272178173065186,-1.0607714653015137,,
1959,54,56,110592,-0.02153678797185421,53,0.2690533995628357,0.0002,0.027717292308807373,-1.061614751815796,,
1954,55,57,112640,-0.0668669119477272,54,0.11769182980060577,0.0002,-1.8728561401367188,-1.0636718273162842,,
1945,56,58,114688,-0.024350997060537338,55,0.1565619707107544,0.0002,-1.5416791439056396,-1.0643775463104248,,
1938,57,60,116736,-0.21690599620342255,56,1.382922887802124,0.0002,-0.3382381200790405,-1.0681959390640259,,
1926,58,61,118784,-0.04976632446050644,57,0.1740250289440155,0.0002,-1.772559404373169,-1.0663378238677979,,
1917,59,63,120832,-0.062148671597242355,58,0.17147120833396912,0.0002,-2.6992878913879395,-1.0656497478485107,,
1908,60,64,122880,0.006286287680268288,59,0.0763823539018631,0.0002,-4.129953861236572,-1.0664515495300293,,
1899,61,65,124928,-0.07292959094047546,60,0.07444249093532562,0.0002,-7.421630859375,-1.0671358108520508,,
1887,62,67,126976,-0.02279004454612732,61,0.14338338375091553,0.0002,-1.7059686183929443,-1.068458914756775,,
1876,63,68,129024,-0.025492049753665924,62,0.16674959659576416,0.0002,0.06748086214065552,-1.0661194324493408,,
1867,64,70,131072,-0.03115948475897312,63,0.20628634095191956,0.0002,-3.8811798095703125,-1.0688012838363647,,
1857,65,71,133120,-0.05892585590481758,64,0.055600449442863464,0.0002,-7.4458513259887695,-1.0687174797058105,,
1851,66,72,135168,-0.01454724371433258,65,0.23819729685783386,0.0002,-2.099985361099243,-1.0730726718902588,,
