time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/explained_variance,train/value_loss,train/entropy_loss,train/learning_rate,train/policy_loss,train/n_updates,resources/memory_mb,resources/cpu_percent
2048,1,1,1246,,,,,,,,
4096,2,2,1506,-0.0010570287704467773,41.37923812866211,-1.0986089706420898,0.0002,-1.4355241060256958,1,,
6144,3,3,1764,-0.010631680488586426,75.19503021240234,-1.09811532497406,0.0002,-1.799612283706665,2,,
8192,4,4,1940,-0.9125614166259766,0.9317144155502319,-1.0974438190460205,0.0002,-0.1909664273262024,3,,
10240,5,5,2035,-0.029836535453796387,35.51830291748047,-1.0955421924591064,0.0002,-0.9966952204704285,4,,
12288,5,6,2142,-1.2915191650390625,0.936964213848114,-1.0944386720657349,0.0002,-0.11205549538135529,5,,
14336,6,7,2209,-0.00632166862487793,26.854225158691406,-1.090531349182129,0.0002,-0.8575796484947205,6,,
16384,7,8,2265,-0.02898097038269043,23.703508377075195,-1.0890358686447144,0.0002,-0.5413036346435547,7,,
18432,7,9,2317,-0.05015993118286133,18.491905212402344,-1.0902961492538452,0.0002,-0.5114794373512268,8,,
20480,8,10,2360,-1.9975066184997559,1.3522981405258179,-1.087594747543335,0.0002,0.07869264483451843,9,,
22528,9,11,2396,-2.133988857269287,1.0488518476486206,-1.0868556499481201,0.0002,-0.13604900240898132,10,,
24576,10,12,2429,-0.13199317455291748,4.415579795837402,-1.0803990364074707,0.0002,-0.2743645906448364,11,,
26624,10,13,2428,-1.701218605041504,0.8784628510475159,-1.0804799795150757,0.0002,-0.14681360125541687,12,,
28672,11,14,2401,-0.8979003429412842,0.6887702345848083,-1.0802552700042725,0.0002,-0.20691724121570587,13,,
30720,12,15,2379,-1.8803646564483643,0.8267560005187988,-1.077669382095337,0.0002,-0.20230650901794434,14,,
32768,13,16,2358,-2.0649211406707764,0.7360643148422241,-1.0757336616516113,0.0002,-0.17518284916877747,15,,
34816,14,17,2336,-0.07414305210113525,14.72831916809082,-1.076987862586975,0.0002,-0.6947615146636963,16,,
36864,15,18,2324,-2.557093620300293,1.000407338142395,-1.075023889541626,0.0002,-0.26986876130104065,17,,
38912,16,19,2323,-2.754204034805298,0.8637104034423828,-1.0677287578582764,0.0002,-0.15708792209625244,18,,
40960,17,20,2320,-3.2749385833740234,0.8574742078781128,-1.0700657367706299,0.0002,-0.2018241435289383,19,,
43008,18,21,2311,-0.014147639274597168,18.695266723632812,-1.0710119009017944,0.0002,-0.9586247801780701,20,,
45056,19,22,2310,-1.8683955669403076,1.109238624572754,-1.0670669078826904,0.0002,-0.25633302330970764,21,,
47104,20,23,2321,-3.674921989440918,1.014498233795166,-1.0705572366714478,0.0002,-0.22769159078598022,22,,
49152,21,24,2330,-3.18967866897583,0.9589374661445618,-1.0690162181854248,0.0002,-0.12738165259361267,23,,
51200,21,25,2337,-3.1812710762023926,0.7804238796234131,-1.0661256313323975,0.0002,-0.24213211238384247,24,,
53248,22,26,2347,-3.68900728225708,0.8530778288841248,-1.0657628774642944,0.0002,-0.214070126414299,25,,
55296,23,27,2350,-0.1097489595413208,6.8232245445251465,-1.0704786777496338,0.0002,-0.4984133839607239,26,,
57344,24,28,2344,-0.1289370059967041,6.495709419250488,-1.0714046955108643,0.0002,-0.3850972652435303,27,,
59392,25,29,2340,-0.04236900806427002,13.096006393432617,-1.0697640180587769,0.0002,-0.7995120286941528,28,,
61440,26,30,2345,-3.931797504425049,1.3625080585479736,-1.0711944103240967,0.0002,-0.13723255693912506,29,,
63488,27,31,2346,-5.363746643066406,0.9910900592803955,-1.069451093673706,0.0002,-0.14948102831840515,30,,
65536,28,32,2338,-4.1419219970703125,0.8392565250396729,-1.0678534507751465,0.0002,-0.20327362418174744,31,,
67584,29,33,2326,-3.4114246368408203,0.7834715843200684,-1.0664215087890625,0.0002,-0.14383459091186523,32,,
69632,29,34,2321,-3.271322727203369,0.6422854661941528,-1.064972996711731,0.0002,-0.18985633552074432,33,,
71680,30,35,2322,-6.962276935577393,0.7364616394042969,-1.0656927824020386,0.0002,-0.2269410938024521,34,,
73728,31,36,2321,-2.957496166229248,0.6982525587081909,-1.0667264461517334,0.0002,-0.09643726050853729,35,,
75776,32,37,2321,-2.9775798320770264,0.6173796653747559,-1.0715034008026123,0.0002,-0.24162542819976807,36,,
77824,33,38,2319,-2.0543181896209717,0.885610818862915,-1.0750830173492432,0.0002,-0.15617245435714722,37,,
79872,34,39,2298,-3.0790576934814453,0.5834794044494629,-1.0702085494995117,0.0002,-0.21569857001304626,38,,
81920,35,40,2288,-3.1904726028442383,0.6963756084442139,-1.0702441930770874,0.0002,-0.17826132476329803,39,9490.9609375,6.2
83968,36,41,2287,-7.550558090209961,0.5836050510406494,-1.0664331912994385,0.0002,-0.21165277063846588,40,,
86016,37,42,2284,-4.082790374755859,0.5158517360687256,-1.0656484365463257,0.0002,-0.11339446902275085,41,,
88064,38,43,2280,-5.479144096374512,0.44532641768455505,-1.0670640468597412,0.0002,-0.12116002291440964,42,,
90112,39,44,2276,-5.462709426879883,0.40059804916381836,-1.0679808855056763,0.0002,-0.1383790671825409,43,,
92160,40,45,2275,-4.571872711181641,0.4612390995025635,-1.0684720277786255,0.0002,-0.07731124013662338,44,,
94208,41,46,2274,-3.2879652976989746,0.3990938067436218,-1.07066011428833,0.0002,-0.171613410115242,45,,
