time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/entropy_loss,train/value_loss,train/n_updates,train/policy_loss,train/explained_variance,resources/cpu_percent,resources/memory_mb
1,1222,1,2048,,,,,,,,
2,1522,2,4096,0.0002,-1.0986045598983765,43.49399948120117,1,-1.3457473516464233,-0.0006806850433349609,,
3,1798,3,6144,0.0002,-1.0973773002624512,38.688133239746094,2,-1.2255195379257202,-0.0060340166091918945,,
4,1992,4,8192,0.0002,-1.0958921909332275,103.4234390258789,3,-2.1952545642852783,0.00185394287109375,,
5,2032,5,10240,0.0002,-1.0964725017547607,0.7830425500869751,4,-0.25234708189964294,0.02008354663848877,,
6,2105,5,12288,0.0002,-1.0954701900482178,53.48683166503906,5,-1.5559077262878418,0.012363791465759277,,
7,2177,6,14336,0.0002,-1.0964511632919312,0.8197451233863831,6,-0.05967078357934952,0.26845782995224,,
8,2221,7,16384,0.0002,-1.0953669548034668,0.7330586910247803,7,-0.12714634835720062,0.32067400217056274,,
9,2247,8,18432,0.0002,-1.0956101417541504,0.5180951356887817,8,-0.08482895791530609,0.2985110282897949,,
10,2248,9,20480,0.0002,-1.0974242687225342,25.84543228149414,9,-0.8318353891372681,-0.028516054153442383,,
11,2226,10,22528,0.0002,-1.0971403121948242,21.87567901611328,10,-0.5912735462188721,0.023693203926086426,,
12,2205,11,24576,0.0002,-1.0965015888214111,51.51859664916992,11,-1.8259568214416504,-0.0065653324127197266,,
13,2192,12,26624,0.0002,-1.0961148738861084,0.6409788131713867,12,-0.10430324077606201,0.08518064022064209,,
14,2214,12,28672,0.0002,-1.0958348512649536,0.7463657259941101,13,-0.13417935371398926,0.05759245157241821,,
15,2246,13,30720,0.0002,-1.0952343940734863,12.91528606414795,14,-0.6152974367141724,0.02695143222808838,,
16,2274,14,32768,0.0002,-1.0948594808578491,13.30093002319336,15,-0.5942962169647217,0.03931379318237305,,
17,2295,15,34816,0.0002,-1.0942790508270264,0.6349292993545532,16,-0.1002064049243927,0.3903740644454956,,
18,2317,15,36864,0.0002,-1.0940752029418945,0.6034757494926453,17,-0.15156111121177673,0.08442699909210205,,
19,2335,16,38912,0.0002,-1.0941417217254639,0.46010497212409973,18,-0.08063729852437973,0.05884909629821777,,
20,2346,17,40960,0.0002,-1.0943214893341064,0.5293883085250854,19,-0.00732905138283968,-0.014843344688415527,,
21,2353,18,43008,0.0002,-1.0952036380767822,0.6800178289413452,20,-0.16290900111198425,-0.3884270191192627,,
22,2337,19,45056,0.0002,-1.0931601524353027,0.41362103819847107,21,-0.0553772896528244,0.008453607559204102,,
23,2298,20,47104,0.0002,-1.0927274227142334,0.36680468916893005,22,-0.09682092815637589,-0.2783900499343872,,
24,2282,21,49152,0.0002,-1.0932581424713135,0.5227252244949341,23,-0.07179155945777893,-0.10443532466888428,,
25,2289,22,51200,0.0002,-1.092954397201538,0.4114116132259369,24,-0.12243819236755371,-0.18765413761138916,,
26,2300,23,53248,0.0002,-1.0926322937011719,0.42864567041397095,25,-0.05687801539897919,-0.12768781185150146,,
27,2286,24,55296,0.0002,-1.093031406402588,4.821435928344727,26,-0.36444371938705444,-0.08315479755401611,,
28,2284,25,57344,0.0002,-1.0931050777435303,0.2986898422241211,27,-0.07401442527770996,-1.1595821380615234,,
29,2289,25,59392,0.0002,-1.0923447608947754,0.3985905945301056,28,-0.08719848096370697,-0.3663851022720337,,
30,2289,26,61440,0.0002,-1.0916874408721924,0.24824301898479462,29,-0.06364284455776215,-0.4673175811767578,,
31,2278,27,63488,0.0002,-1.0917015075683594,0.2733435034751892,30,-0.02119937725365162,-1.063051462173462,,
32,2272,28,65536,0.0002,-1.092308759689331,0.24778027832508087,31,-0.12239080667495728,-1.3035554885864258,,
33,2268,29,67584,0.0002,-1.0918049812316895,0.325186550617218,32,-0.08242549002170563,-0.7046699523925781,,
34,2258,30,69632,0.0002,-1.0925798416137695,0.3787808120250702,33,-0.030615350231528282,-0.5319430828094482,,
35,2245,31,71680,0.0002,-1.0930747985839844,0.2433377504348755,34,-0.08216450363397598,-0.9985824823379517,,
36,2240,32,73728,0.0002,-1.0925168991088867,0.2972252070903778,35,-0.09158481657505035,-1.3522531986236572,,
37,2232,33,75776,0.0002,-1.0926132202148438,0.1389935314655304,36,0.014752635732293129,-0.2855037450790405,,
38,2225,34,77824,0.0002,-1.0925192832946777,0.10886429250240326,37,-0.04010630398988724,-1.972787857055664,,
39,2218,35,79872,0.0002,-1.0931928157806396,0.12287488579750061,38,-0.022133495658636093,-2.266711950302124,,
40,2207,37,81920,0.0002,-1.0933876037597656,0.07966534048318863,39,-0.0282975435256958,-1.85079026222229,17.5,10458.5546875
41,2203,38,83968,0.0002,-1.09406578540802,0.11461661756038666,40,-0.01793941669166088,-1.9964838027954102,,
42,2196,39,86016,0.0002,-1.0947775840759277,0.14834678173065186,41,-0.027257513254880905,-0.10990440845489502,,
43,2191,40,88064,0.0002,-1.0947659015655518,1.3263427019119263,42,-0.21327632665634155,-0.07185935974121094,,
44,2187,41,90112,0.0002,-1.0938349962234497,0.12314055860042572,43,-0.06447409093379974,-1.4271790981292725,,
45,2181,42,92160,0.0002,-1.0945332050323486,0.08320385217666626,44,-0.0046174181625247,-2.889981985092163,,
46,2179,43,94208,0.0002,-1.0949621200561523,0.10013864189386368,45,-0.04767578840255737,-2.6053385734558105,,
47,2174,44,96256,0.0002,-1.0949506759643555,0.0922626331448555,46,-0.0028457320295274258,-2.2317981719970703,,
48,2169,45,98304,0.0002,-1.0950422286987305,0.13604089617729187,47,-0.0415707528591156,-1.2054781913757324,,
49,2168,46,100352,0.0002,-1.095603585243225,0.1598205417394638,48,-0.06211530417203903,-2.553978681564331,,
50,2161,47,102400,0.0002,-1.0955734252929688,0.1244841068983078,49,0.005983642302453518,-1.0486252307891846,,
51,2154,48,104448,0.0002,-1.0957289934158325,0.17425137758255005,50,-0.07703116536140442,-2.2394649982452393,,
52,2147,49,106496,0.0002,-1.095729112625122,0.11891722679138184,51,-0.053382955491542816,-2.96372652053833,,
53,2140,50,108544,0.0002,-1.0960261821746826,0.1134539246559143,52,0.0024934089742600918,-0.8593320846557617,,
54,2134,51,110592,0.0002,-1.0959590673446655,0.09101420640945435,53,-0.0550151988863945,-4.337937355041504,,
55,2126,52,112640,0.0002,-1.0958975553512573,0.057368792593479156,54,-0.013475166633725166,-3.7134432792663574,,
56,2118,54,114688,0.0002,-1.0958001613616943,0.06387357413768768,55,0.0038862009532749653,-1.6880457401275635,,
57,2109,55,116736,0.0002,-1.0949242115020752,0.05470288544893265,56,-0.048157110810279846,-10.565345764160156,,
58,2103,56,118784,0.0002,-1.095041036605835,0.054656703025102615,57,-0.01944289728999138,-8.334155082702637,,
59,2099,57,120832,0.0002,-1.095369815826416,0.06403771787881851,58,-0.00656552379950881,-7.37016487121582,,
60,2089,58,122880,0.0002,-1.0951216220855713,0.026143964380025864,59,-0.026485901325941086,-11.585575103759766,,
61,2075,60,124928,0.0002,-1.0949150323867798,0.02276613563299179,60,0.013430298306047916,-7.8419084548950195,,
62,2066,61,126976,0.0002,-1.0952616930007935,0.04044391214847565,61,-0.031800705939531326,-10.41628360748291,,
63,2053,62,129024,0.0002,-1.095106840133667,0.038843393325805664,62,0.004553839564323425,-2.798279047012329,,
64,2036,64,131072,0.0002,-1.0958151817321777,0.03793514519929886,63,-0.012078440748155117,-6.552032947540283,,
65,2026,65,133120,0.0002,-1.095667839050293,0.03734087944030762,64,-0.01786656491458416,-5.638906955718994,,
66,2004,67,135168,0.0002,-1.096208930015564,0.02931077592074871,65,0.012517276220023632,-18.889636993408203,,
67,1987,69,137216,0.0002,-1.0962092876434326,0.03423371911048889,66,-0.021062547340989113,-6.664761543273926,,
68,1975,70,139264,0.0002,-1.0964170694351196,0.05413058400154114,67,-0.00013379950542002916,-8.317646980285645,,
69,1967,71,141312,0.0002,-1.0965750217437744,0.04073648154735565,68,-0.01182436104863882,-1.2893738746643066,,
70,1954,73,143360,0.0002,-1.0965981483459473,0.08645959198474884,69,-0.008549664169549942,-2.626192092895508,,
71,1940,74,145408,0.0002,-1.0969723463058472,0.031582511961460114,70,-0.031657785177230835,-13.107404708862305,,
72,1924,76,147456,0.0002,-1.0969682931900024,0.026980794966220856,71,0.007592245936393738,-4.702618598937988,,
73,1917,77,149504,0.0002,-1.0969157218933105,0.037981580942869186,72,-0.027368512004613876,-7.258506774902344,,
74,1911,79,151552,0.0002,-1.0968408584594727,0.027149248868227005,73,-0.0027128246147185564,-10.114094734191895,,
