time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/policy_loss,train/entropy_loss,train/value_loss,train/n_updates,train/explained_variance,train/learning_rate
2048,1,0,2115,,,,,,
4096,2,2,1948,-0.8205327987670898,-1.0986056327819824,17.674732208251953,1,0.0033141374588012695,0.0002
6144,3,2,2081,-0.0756278932094574,-1.087605357170105,0.3793683648109436,2,0.015019357204437256,0.0002
8192,4,3,2169,-0.4193298816680908,-1.0735235214233398,35.022552490234375,3,0.0023818016052246094,0.0002
10240,5,4,2195,0.4953996241092682,-1.0910781621932983,0.6947928667068481,4,0.10409104824066162,0.0002
12288,6,5,2215,-0.9341545701026917,-1.0898609161376953,48.827205657958984,5,-0.0008739233016967773,0.0002
14336,7,6,2242,0.5294410586357117,-1.0851129293441772,0.8338786363601685,6,0.05369687080383301,0.0002
16384,8,7,2218,-0.22680385410785675,-1.086728811264038,21.36556625366211,7,0.0010564923286437988,0.0002
18432,9,8,2228,0.4127568006515503,-1.0753483772277832,0.43369096517562866,8,0.007005870342254639,0.0002
20480,10,9,2242,-1.091963768005371,-1.0741748809814453,50.20458221435547,9,-0.009332537651062012,0.0002
22528,11,9,2276,-1.1606783866882324,-1.0595204830169678,45.74888229370117,10,0.003782510757446289,0.0002
24576,12,10,2284,0.32405775785446167,-1.0363941192626953,0.6085166931152344,11,0.09552973508834839,0.0002
26624,13,11,2292,0.09544780850410461,-1.0381693840026855,0.17302078008651733,12,-0.03733563423156738,0.0002
28672,14,12,2300,0.004201920703053474,-1.0381603240966797,0.27797508239746094,13,0.04382568597793579,0.0002
30720,15,13,2302,-0.07893969863653183,-1.0123729705810547,0.21298576891422272,14,0.08842068910598755,0.0002
32768,16,14,2271,0.05466940253973007,-1.0117499828338623,0.21640783548355103,15,-0.01604294776916504,0.0002
34816,17,15,2246,-0.07530003786087036,-1.0061625242233276,0.242570161819458,16,0.08280313014984131,0.0002
36864,18,16,2254,-0.004019265063107014,-0.9950647354125977,0.17559674382209778,17,0.07833945751190186,0.0002
38912,19,17,2246,0.010194076225161552,-0.9581341743469238,0.15258292853832245,18,0.09462875127792358,0.0002
40960,20,18,2246,-0.03695090487599373,-0.9620246887207031,0.22301849722862244,19,0.03356003761291504,0.0002
43008,21,19,2238,-0.04232972115278244,-0.961032509803772,0.13619817793369293,20,0.15100497007369995,0.0002
45056,22,20,2222,0.05807749181985855,-0.9535387754440308,0.1453862339258194,21,0.12673604488372803,0.0002
47104,23,21,2230,0.010798506438732147,-0.949934184551239,0.14524787664413452,22,0.05500304698944092,0.0002
49152,24,21,2242,-0.023729458451271057,-0.9418373703956604,0.17451970279216766,23,0.05683714151382446,0.0002
51200,25,22,2239,0.01710331067442894,-0.9422057867050171,0.1276261955499649,24,0.10926347970962524,0.0002
53248,26,23,2239,-0.08574280142784119,-0.9263792634010315,0.1740657389163971,25,0.02618575096130371,0.0002
55296,27,24,2235,0.005637061316519976,-0.9154186248779297,0.13706228137016296,26,0.12360608577728271,0.0002
57344,28,25,2234,-0.038032256066799164,-0.9076017737388611,0.13321927189826965,27,0.23506230115890503,0.0002
59392,29,26,2234,0.0042864116840064526,-0.9083749055862427,0.11763501167297363,28,-0.017227888107299805,0.0002
61440,30,27,2234,-0.018418623134493828,-0.901159942150116,0.11517380177974701,29,0.07840907573699951,0.0002
63488,31,28,2230,-0.0030861853156238794,-0.863537609577179,0.10317939519882202,30,0.21079236268997192,0.0002
65536,32,29,2224,0.025351570919156075,-0.8514500856399536,0.11442559957504272,31,0.2724111080169678,0.0002
67584,33,30,2224,-0.03170793503522873,-0.8671116232872009,0.13242892920970917,32,0.25127077102661133,0.0002
69632,34,31,2222,0.014557985588908195,-0.8730522394180298,0.11086630821228027,33,0.26437634229660034,0.0002
71680,35,32,2221,-0.047115929424762726,-0.8843445777893066,0.1149691790342331,34,0.15836673974990845,0.0002
73728,36,33,2217,0.03224814310669899,-0.8816035985946655,0.11541233956813812,35,0.20275181531906128,0.0002
