time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/explained_variance,train/value_loss,train/n_updates,train/entropy_loss,train/learning_rate,train/policy_loss,resources/cpu_percent,resources/memory_mb,rollout/ep_len_mean,rollout/ep_rew_mean
2141,1,2048,0,,,,,,,,,,
2273,2,4096,1,0.0047338008880615234,1.073535680770874,1,-1.098602294921875,0.0002,-0.616317093372345,,,,
2330,3,6144,2,0.016619443893432617,0.5864900350570679,2,-1.0745502710342407,0.0002,0.3917357325553894,,,,
2373,4,8192,3,-0.0008050203323364258,69.04074096679688,3,-1.0504710674285889,0.0002,-1.5641047954559326,,,,
2400,5,10240,4,0.02482682466506958,0.49194180965423584,4,-0.9894735813140869,0.0002,0.38209426403045654,,,,
2398,6,12288,5,0.07277458906173706,0.27720779180526733,5,-0.9886627197265625,0.0002,-0.02838427573442459,,,,
2412,7,14336,5,-0.027373313903808594,0.41776779294013977,6,-0.846367597579956,0.0002,0.37237343192100525,,,,
2413,8,16384,6,0.000714719295501709,23.475677490234375,7,-0.8532128930091858,0.0002,-0.8077272176742554,,,,
2363,9,18432,7,-0.08490371704101562,0.33222100138664246,8,-0.8045316934585571,0.0002,0.28673508763313293,,,,
2315,10,20480,8,-0.008010387420654297,0.2152264416217804,9,-0.8035726547241211,0.0002,0.09826906770467758,,,,
2202,11,22528,10,-0.03898882865905762,0.2040395885705948,10,-0.7909650802612305,0.0002,-0.1319379061460495,,,,
2173,12,24576,11,-0.03881716728210449,0.2234388142824173,11,-0.7801828980445862,0.0002,0.1029164046049118,,,,
2158,13,26624,12,-0.020952701568603516,0.1813265085220337,12,-0.7689793109893799,0.0002,-0.06925831735134125,,,,
2132,14,28672,13,-0.04544234275817871,0.20505359768867493,13,-0.7787920832633972,0.0002,0.0667274221777916,,,,
2110,15,30720,14,0.041509926319122314,0.1734286993741989,14,-0.7754137516021729,0.0002,-0.04522336646914482,,,,
2097,16,32768,15,0.0007411837577819824,25.075769424438477,15,-0.770016610622406,0.0002,-0.6222158670425415,,,,
2072,17,34816,16,-0.035265564918518066,0.33335885405540466,16,-0.6969743967056274,0.0002,0.13210324943065643,,,,
2032,18,36864,18,0.0034866929054260254,0.23418119549751282,17,-0.7013450860977173,0.0002,0.07195483893156052,,,,
1998,19,38912,19,-0.02607595920562744,0.22563250362873077,18,-0.7195067405700684,0.0002,-0.07132105529308319,,,,
2000,20,40960,20,-0.08542108535766602,0.2181139886379242,19,-0.6794506311416626,0.0002,0.026988325640559196,,,,
1997,21,43008,21,-0.02769327163696289,0.7738960385322571,20,-0.7512940764427185,0.0002,-0.14528991281986237,,,,
1986,22,45056,22,0.0448070764541626,0.2809544801712036,21,-0.7618178129196167,0.0002,0.055666204541921616,,,,
1983,23,47104,23,-0.009981274604797363,0.213756263256073,22,-0.7582471966743469,0.0002,-0.07636072486639023,,,,
1976,24,49152,24,0.005567073822021484,0.22718636691570282,23,-0.7578774690628052,0.0002,0.01837889850139618,,,,
1973,25,51200,25,0.09071451425552368,0.21538864076137543,24,-0.7432876825332642,0.0002,-0.05351882427930832,,,,
1968,26,53248,27,0.06626754999160767,0.2199869453907013,25,-0.7458782196044922,0.0002,0.013353917747735977,,,,
1965,27,55296,28,0.006604552268981934,0.2062126249074936,26,-0.737112283706665,0.0002,-0.03734585642814636,,,,
1962,28,57344,29,-0.022747397422790527,0.2141343206167221,27,-0.7373761534690857,0.0002,0.05187336727976799,,,,
1955,29,59392,30,0.004413723945617676,0.22193863987922668,28,-0.7385228872299194,0.0002,-0.07140237838029861,,,,
1944,30,61440,31,0.02680283784866333,0.2007640302181244,29,-0.7333736419677734,0.0002,0.038578398525714874,,,,
1940,31,63488,32,-0.02165043354034424,0.20173701643943787,30,-0.7280313372612,0.0002,-0.03998424857854843,,,,
1932,32,65536,33,0.007016301155090332,0.2008708417415619,31,-0.7342717051506042,0.0002,0.04377655312418938,,,,
1891,33,67584,35,-0.004994869232177734,0.20723633468151093,32,-0.7315486669540405,0.0002,-0.05211985856294632,,,,
1884,34,69632,36,-0.028310179710388184,0.19754862785339355,33,-0.7298204302787781,0.0002,0.03348492830991745,,,,
1882,35,71680,38,0.006112456321716309,0.19837450981140137,34,-0.727781355381012,0.0002,-0.033245980739593506,,,,
1880,36,73728,39,0.007582247257232666,0.18851444125175476,35,-0.7260056138038635,0.0002,0.02965865656733513,,,,
1871,37,75776,40,0.03879892826080322,0.1991901993751526,36,-0.7200902104377747,0.0002,-0.0314442440867424,,,,
1853,38,77824,41,-0.01282346248626709,0.21721220016479492,37,-0.641605794429779,0.0002,0.048279013484716415,,,,
1850,39,79872,43,0.05459189414978027,0.19597478210926056,38,-0.6718178391456604,0.0002,-0.024855004623532295,,,,
1834,40,81920,44,0.06329077482223511,0.19607046246528625,39,-0.6660518050193787,0.0002,0.014494107104837894,91.7,15055.36328125,,
1825,41,83968,46,0.07515972852706909,0.19396674633026123,40,-0.6672206521034241,0.0002,-0.02989862859249115,,,,
1818,42,86016,47,-0.005515694618225098,0.19647273421287537,41,-0.7027278542518616,0.0002,0.032889414578676224,,,,
1814,43,88064,48,0.0029224157333374023,0.20112532377243042,42,-0.6517370343208313,0.0002,-0.021270236000418663,,,,
