time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/explained_variance,train/learning_rate,train/policy_loss,train/n_updates,train/value_loss,train/entropy_loss,resources/cpu_percent,resources/memory_mb,rollout/ep_rew_mean,rollout/ep_len_mean
1702,1,2048,1,,,,,,,,,,
1875,2,4096,2,0.0027103424072265625,0.0002,-0.46960094571113586,1,0.8111966848373413,-1.098606824874878,,,,
2141,3,6144,2,-0.04382038116455078,0.0002,-0.21648482978343964,2,0.5401670932769775,-1.0931546688079834,,,,
2315,4,8192,3,-0.07284128665924072,0.0002,0.1401084065437317,3,0.5279941558837891,-1.080693006515503,,,,
2427,5,10240,4,0.00128859281539917,0.0002,-0.026242472231388092,4,13.314188003540039,-1.0500757694244385,,,,
2499,6,12288,4,0.004992187023162842,0.0002,-0.6390526294708252,5,29.499130249023438,-1.0021522045135498,,,,
2567,7,14336,5,0.0854526162147522,0.0002,0.2726295590400696,6,0.7634173631668091,-0.9972909688949585,,,,
2615,8,16384,6,0.022409558296203613,0.0002,-0.03209467977285385,7,0.5052322149276733,-0.9945528507232666,,,,
2655,9,18432,6,0.1315823197364807,0.0002,0.07990232855081558,8,0.24264922738075256,-0.9324827194213867,,,,
2687,10,20480,7,0.0639488697052002,0.0002,0.06822820007801056,9,0.31356722116470337,-0.9167177081108093,,,,
2704,11,22528,8,-0.06852233409881592,0.0002,-0.14418794214725494,10,0.2040601223707199,-0.9276074767112732,,,,
2716,12,24576,9,0.0038430094718933105,0.0002,-0.017278630286455154,11,0.14925608038902283,-0.925484299659729,,,,
2732,13,26624,9,0.16244596242904663,0.0002,0.061365459114313126,12,0.13599634170532227,-0.8961792588233948,,,,
2749,14,28672,10,0.11038833856582642,0.0002,-0.007843391969799995,13,0.2193394899368286,-0.8884369134902954,,,,
2762,15,30720,11,0.16397005319595337,0.0002,-0.12734383344650269,14,0.16243596374988556,-0.8508232235908508,,,,
2769,16,32768,11,-0.005584120750427246,0.0002,-0.5962240695953369,15,24.525941848754883,-0.8496764898300171,,,,
2776,17,34816,12,-0.0038957595825195312,0.0002,0.04826734960079193,16,0.18700294196605682,-0.8375223278999329,,,,
2784,18,36864,13,-0.003947138786315918,0.0002,-0.02043585665524006,17,0.22762176394462585,-0.8361612558364868,,,,
