time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/policy_loss,train/value_loss,train/learning_rate,train/explained_variance,train/n_updates,train/entropy_loss,resources/cpu_percent,resources/memory_mb,rollout/ep_rew_mean,rollout/ep_len_mean
32768,2991,10,1,,,,,,,,,,
65536,2781,23,2,-124.10401916503906,182116.34375,0.0002,2.1755695343017578e-05,1,-1.0986101627349854,,,,
98304,2648,37,3,-108.71720886230469,14535.1328125,0.0002,0.0002576112747192383,2,-1.092570185661316,18.4,14877.9765625,,
131072,2520,51,4,-120.30992126464844,14227.525390625,0.0002,0.00041413307189941406,3,-1.085390329360962,,,,
163840,2379,68,5,-123.18807983398438,13310.4052734375,0.0002,0.001166224479675293,4,-1.084261178970337,4.2,14563.75,,
196608,2229,88,6,-126.59673309326172,13842.95703125,0.0002,-0.00016069412231445312,5,-1.0921159982681274,,,,
229376,2090,109,7,-126.37705993652344,13426.14453125,0.0002,0.0025748610496520996,6,-1.0928692817687988,,,,
262144,1941,135,8,-126.31268310546875,13390.03515625,0.0002,-0.00011098384857177734,7,-1.0934290885925293,10.4,14759.1796875,,
294912,1817,162,9,-125.999267578125,13360.3662109375,0.0002,0.0007688999176025391,8,-1.0927643775939941,,,,
327680,1707,191,10,-126.12647247314453,13331.76953125,0.0002,0.0004534125328063965,9,-1.0947167873382568,6.1,12174.65625,,
360448,1610,223,11,-126.18926239013672,13306.16796875,0.0002,-0.0010734796524047852,10,-1.095794916152954,,,,
393216,1523,258,12,-125.92915344238281,13285.443359375,0.0002,0.002286195755004883,11,-1.094085931777954,,,,
425984,1440,295,13,-125.70474243164062,13268.703125,0.0002,-0.0001329183578491211,12,-1.0921683311462402,18.8,12507.73046875,,
458752,1364,336,14,-124.97607421875,13257.470703125,0.0002,-0.0022045373916625977,13,-1.0879464149475098,,,,
491520,1293,380,15,-125.17562866210938,13246.3623046875,0.0002,0.0012154579162597656,14,-1.0892720222473145,12.2,12607.46875,,
524288,1234,424,16,-124.64924621582031,13230.88671875,0.0002,-0.0006616115570068359,15,-1.0860481262207031,,,,
557056,1177,473,17,-124.55303955078125,13207.685546875,0.0002,-0.0004513263702392578,16,-1.085367202758789,,,,
589824,1123,525,18,-124.06388854980469,13170.82421875,0.0002,0.00013464689254760742,17,-1.0836796760559082,1.8,11915.25390625,,
622592,1080,576,19,-124.41300964355469,13181.2734375,0.0002,-0.0002275705337524414,18,-1.0861046314239502,,,-269836.375115,38175.0
655360,1044,627,20,-122.64312744140625,12961.998046875,0.0002,-0.0001506805419921875,19,-1.0872528553009033,10.4,12525.76171875,-269836.375115,38175.0
