time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/entropy_loss,train/explained_variance,train/learning_rate,train/n_updates,train/value_loss,train/policy_loss,resources/cpu_percent,resources/memory_mb,rollout/ep_rew_mean,rollout/ep_len_mean
2965,32768,11,1,,,,,,,,,,
2739,65536,23,2,-1.09859037399292,-5.9604644775390625e-06,0.0002,1,209495.96875,-128.28453063964844,,,,
2645,98304,37,3,-1.0916883945465088,-1.7404556274414062e-05,0.0002,2,37612.83203125,-122.81890869140625,3.6,12509.1015625,,
2495,131072,52,4,-1.074894666671753,8.112192153930664e-05,0.0002,3,13937.642578125,-122.57024383544922,,,,
2375,163840,68,5,-1.0717545747756958,-7.43865966796875e-05,0.0002,4,13209.232421875,-122.6667251586914,8.3,8151.59375,,
2240,196608,87,6,-1.0823018550872803,-1.919269561767578e-05,0.0002,5,13262.8359375,-124.36717987060547,,,,
2110,229376,108,7,-1.0827529430389404,-1.0728836059570312e-06,0.0002,6,13397.1865234375,-124.78364562988281,,,,
1983,262144,132,8,-1.0860168933868408,-2.181529998779297e-05,0.0002,7,13344.8212890625,-125.04348754882812,0.0,8432.1875,,
1850,294912,159,9,-1.096502661705017,-4.0531158447265625e-06,0.0002,8,13301.361328125,-126.26322937011719,,,,
1738,327680,188,10,-1.0908578634262085,-2.300739288330078e-05,0.0002,9,13282.51953125,-125.47107696533203,10.7,8690.10546875,,
1638,360448,219,11,-1.0843855142593384,-3.1948089599609375e-05,0.0002,10,13245.5029296875,-124.4794921875,,,,
1552,393216,253,12,-1.0894585847854614,-9.5367431640625e-07,0.0002,11,13228.1279296875,-125.01451110839844,,,-154654.031141,24244.0
1480,425984,287,13,-1.0918869972229004,1.7881393432617188e-07,0.0002,12,39164.9140625,-130.50091552734375,8.9,9333.19140625,-154654.031141,24244.0
1411,458752,324,14,-1.0886887311935425,-1.0728836059570312e-06,0.0002,13,13196.330078125,-124.77879333496094,,,-154654.031141,24244.0
1349,491520,364,15,-1.0896854400634766,6.622076034545898e-05,0.0002,14,13189.3779296875,-124.99835205078125,15.8,7568.421875,-177648.733106,26584.0
1296,524288,404,16,-1.081182837486267,-8.344650268554688e-07,0.0002,15,12884.76171875,-120.18746948242188,,,-177648.733106,26584.0
1251,557056,444,17,-1.0745313167572021,2.384185791015625e-07,0.0002,16,17496.572265625,-123.54205322265625,,,-197039.48710133333,28783.333333333332
