time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/entropy_loss,train/n_updates,train/learning_rate,train/policy_loss,train/value_loss,train/explained_variance,resources/memory_mb,resources/cpu_percent
1,10,3087,32768,,,,,,,,
2,22,2956,65536,-1.0985941886901855,1,0.0002,-126.0887451171875,177125.1875,-3.9696693420410156e-05,,
3,34,2810,98304,-1.0952017307281494,2,0.0002,-119.13519287109375,20976.57421875,-0.0006734132766723633,12365.6484375,1.8
4,49,2643,131072,-1.0895612239837646,3,0.0002,-123.84075164794922,14916.603515625,0.0004698038101196289,,
5,67,2439,163840,-1.090848684310913,4,0.0002,-125.9647216796875,13658.4794921875,0.0022629499435424805,9543.078125,17.5
6,85,2289,196608,-1.0890052318572998,5,0.0002,-126.40892028808594,13652.19140625,0.0071874260902404785,,
7,107,2132,229376,-1.0868675708770752,6,0.0002,-125.42463684082031,13377.0126953125,0.014496326446533203,,
8,132,1979,262144,-1.088350534439087,7,0.0002,-125.41716003417969,13341.33984375,0.020623385906219482,10276.45703125,18.4
9,158,1859,294912,-1.0898394584655762,8,0.0002,-125.4612045288086,13309.435546875,0.006156623363494873,,
10,187,1744,327680,-1.0902907848358154,9,0.0002,-125.40457153320312,13282.1435546875,0.010418057441711426,10846.6953125,10.4
11,219,1644,360448,-1.0912762880325317,10,0.0002,-125.51747131347656,13261.37109375,0.020307302474975586,,
12,253,1552,393216,-1.0887553691864014,11,0.0002,-125.02273559570312,13242.5478515625,0.032243967056274414,,
13,290,1467,425984,-1.0900062322616577,12,0.0002,-125.1124267578125,13224.513671875,0.015446305274963379,10924.44140625,8.9
14,329,1394,458752,-1.0900039672851562,13,0.0002,-124.92308044433594,13219.041015625,0.006563365459442139,,
15,371,1321,491520,-1.0931146144866943,14,0.0002,-125.37227630615234,13203.9482421875,0.013506948947906494,9556.6328125,20.4
16,418,1251,524288,-1.0924626588821411,15,0.0002,-125.29591369628906,13199.732421875,0.010657012462615967,,
17,470,1183,557056,-1.0921016931533813,16,0.0002,-125.0398941040039,13171.822265625,0.020430266857147217,,
18,519,1135,589824,-1.0938408374786377,17,0.0002,-125.22785949707031,13159.9248046875,0.006551086902618408,10536.7109375,10.4
19,571,1088,622592,-1.0943901538848877,18,0.0002,-125.26952362060547,13151.603515625,0.010738730430603027,,
20,625,1047,655360,-1.0942386388778687,19,0.0002,-125.26521301269531,13141.333984375,0.012688755989074707,10770.7578125,0.0
