rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/learning_rate,train/explained_variance,train/value_loss,train/entropy_loss,train/n_updates,train/policy_loss,resources/cpu_percent,resources/memory_mb
1.0,10,3221,32768,1,-3.5409625300000003,,,,,,,,
70.16,21,3013,65536,2,-487.11273327999993,0.0002,8.344650268554688e-06,200562.40625,-1.0985900163650513,1,-128.75477600097656,,
70.16,34,2846,98304,3,-487.11273327999993,0.0002,1.0728836059570312e-06,26178.890625,-1.0854878425598145,2,-124.49324035644531,0.0,14689.45703125
352.29,48,2710,131072,4,-2351.31476798,0.0002,1.1324882507324219e-06,21822.73046875,-1.0819045305252075,3,-119.68547058105469,,
444.9,63,2576,163840,5,-2938.8740621499996,0.0002,-4.76837158203125e-07,23866.25,-1.0521761178970337,4,-109.32764434814453,1.8,14732.01171875
665.57,79,2457,196608,6,-4620.79948898,0.0002,5.960464477539063e-08,33586.18359375,-1.0340591669082642,5,-108.08502960205078,,
1322.2,96,2374,229376,7,-9170.938180770001,0.0002,2.980232238769531e-07,64062.88671875,-1.0085668563842773,6,-126.28123474121094,,
1445.6,113,2319,262144,8,-10067.752543499999,0.0002,-7.271766662597656e-06,21311.69921875,-0.9655696153640747,7,-101.09544372558594,3.6,14969.015625
1637.62,128,2291,294912,9,-11415.764665870003,0.0002,5.960464477539062e-07,27979.130859375,-0.9592682123184204,8,-83.28836059570312,,
1181.28,144,2264,327680,10,-7733.053595919999,0.0002,4.76837158203125e-07,36333.58203125,-0.9127265810966492,9,-83.39315795898438,0.0,15157.4296875
1142.88,158,2268,360448,11,-7083.675470030001,0.0002,1.7285346984863281e-06,52182.15625,-0.8557856678962708,10,-73.06425476074219,,
1049.15,172,2273,393216,12,-6048.76568338,0.0002,2.980232238769531e-07,55160.1640625,-0.8699028491973877,11,-71.09783935546875,,
1197.9,188,2257,425984,13,-6685.5713942,0.0002,-3.6954879760742188e-06,8332.4833984375,-0.8180015087127686,12,-56.91497802734375,6.2,14912.65234375
1293.91,206,2226,458752,14,-6608.1295909499995,0.0002,3.4570693969726562e-06,12183.66015625,-0.7531561851501465,13,-54.59331512451172,,
