time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/explained_variance,train/value_loss,train/n_updates,train/policy_loss,train/entropy_loss,train/learning_rate,resources/memory_mb,resources/cpu_percent,rollout/ep_len_mean,rollout/ep_rew_mean
1,3053,10,32768,,,,,,,,,,
2,2884,22,65536,1.0132789611816406e-06,201658.1875,1,-81.66012573242188,-1.0985833406448364,2e-05,,,,
3,2740,35,98304,-8.475780487060547e-05,6168.44677734375,2,-6.490469455718994,-1.0985925197601318,2e-05,12262.74609375,8.8,,
4,2569,51,131072,-0.0004711151123046875,979.1526489257812,3,-1.358945608139038,-1.098596215248108,2e-05,,,,
5,2344,69,163840,-32.51036071777344,0.2978545129299164,4,0.07134076952934265,-1.098530888557434,2e-05,12678.47265625,6.1,,
6,2183,90,196608,-34.66936492919922,0.28175613284111023,5,0.0630882978439331,-1.098545789718628,2e-05,,,,
7,2009,114,229376,-40.97639846801758,0.2789304256439209,6,0.04931796342134476,-1.098548173904419,2e-05,,,,
8,1844,142,262144,-41.49180603027344,0.2783108949661255,7,0.040766745805740356,-1.0985321998596191,2e-05,12670.0390625,13.5,,
9,1723,171,294912,-38.99421310424805,0.2755378782749176,8,0.04171724617481232,-1.0985298156738281,2e-05,,,,
10,1659,197,327680,-42.36872100830078,0.2655419707298279,9,0.03909420594573021,-1.0985100269317627,2e-05,12968.2578125,5.4,20000.0,-10000.0
11,1732,208,360448,-7.510185241699219e-06,45752.6171875,10,-21.87698745727539,-1.0985207557678223,2e-05,,,20000.0,-10000.0
12,1789,219,393216,-1.52587890625e-05,93800.3984375,11,-52.0118408203125,-1.0985424518585205,2e-05,,,20000.0,-10000.0
13,1814,234,425984,-1.9073486328125e-06,12262.158203125,12,-11.157657623291016,-1.098515510559082,2e-05,11210.421875,35.4,20000.0,-10000.0
14,1832,250,458752,-2.1576881408691406e-05,2254.810546875,13,-3.238701105117798,-1.098509430885315,2e-05,,,20000.0,-10000.0
15,1828,268,491520,-0.14005208015441895,2.517573356628418,14,-0.21952396631240845,-1.0984396934509277,2e-05,8538.828125,4.2,20000.0,-10000.0
16,1812,289,524288,-0.015434026718139648,18.70569610595703,15,0.07625345140695572,-1.098413109779358,2e-05,,,20000.0,-10000.0
17,1782,312,557056,-26.809999465942383,0.2645447552204132,16,0.10961119085550308,-1.0982861518859863,2e-05,,,20000.0,-10000.0
18,1738,339,589824,-28.968631744384766,0.25738853216171265,17,0.1038324311375618,-1.0982789993286133,2e-05,8164.89453125,0.0,20000.0,-10000.0
19,1690,368,622592,-27.884828567504883,0.25682148337364197,18,0.09498877078294754,-1.0983061790466309,2e-05,,,20000.0,-10000.0
20,1680,389,655360,-35.19891357421875,0.2500625550746918,19,0.09201761335134506,-1.0982943773269653,2e-05,8620.7734375,14.0,20000.0,-10000.0
21,1718,400,688128,1.9609928131103516e-05,134303.234375,20,-47.999610900878906,-1.0982823371887207,2e-05,,,20000.0,-10000.0
22,1746,412,720896,-7.152557373046875e-06,61945.6171875,21,-36.470699310302734,-1.0981937646865845,2e-05,8631.4375,0.0,20000.0,-10000.0
23,1764,427,753664,-0.010062217712402344,60.59579849243164,22,-2.214526414871216,-1.0981035232543945,2e-05,,,20000.0,-10000.0
24,1773,443,786432,-0.00015687942504882812,1592.49365234375,23,-2.3217926025390625,-1.0980976819992065,2e-05,,,20000.0,-10000.0
25,1761,465,819200,-20.16168785095215,0.26184016466140747,24,0.1255706548690796,-1.0981075763702393,2e-05,8765.32421875,2.1,20000.0,-10000.0
26,1750,486,851968,-24.541393280029297,0.25119876861572266,25,0.11729061603546143,-1.0981041193008423,2e-05,,,20000.0,-10000.0
27,1731,511,884736,-23.762226104736328,0.25110703706741333,26,0.1118997111916542,-1.0981296300888062,2e-05,9066.01171875,69.0,20000.0,-10000.0
28,1698,540,917504,-29.693986892700195,0.24762192368507385,27,0.10370431840419769,-1.0981335639953613,2e-05,,,20000.0,-10000.0
29,1657,573,950272,-34.51153564453125,0.24230703711509705,28,0.09881323575973511,-1.0981451272964478,2e-05,,,20000.0,-10000.0
30,1666,589,983040,-30.91739273071289,0.2324831634759903,29,0.09474651515483856,-1.0981237888336182,2e-05,8147.9921875,7.1,20000.0,-10000.0
31,1690,600,1015808,-3.9696693420410156e-05,104663.7578125,30,-53.92442321777344,-1.0981433391571045,2e-05,,,20000.0,-10000.0
32,1709,613,1048576,4.875659942626953e-05,37270.2578125,31,-26.068408966064453,-1.0981183052062988,2e-05,8106.53515625,12.5,20000.0,-10000.0
