time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/explained_variance,train/entropy_loss,train/loss,train/value_loss,train/learning_rate,train/n_updates,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,resources/cpu_percent,resources/memory_mb,rollout/ep_len_mean,rollout/ep_rew_mean
3772,49152,1,13,,,,,,,,,,,,,,
3344,98304,2,29,2.4080276489257812e-05,-1.0935019279519718,934.1824951171875,1898.3333567301431,8e-05,10,0.2,-0.0018006765875422084,0.007340154,0.03225911458333333,,,,
3083,147456,3,47,0.015383124351501465,-1.0915120060245196,83.08361053466797,147.97568204402924,8e-05,20,0.2,-0.0012372277022222988,0.0028512003,0.003570556640625,4.2,13636.0546875,,
2846,196608,4,69,0.3166104555130005,-1.0893274759252867,0.9696971774101257,3.840925635397434,8e-05,30,0.2,-0.0023287899132507545,0.0036494008,0.013621012369791666,,,,
2617,245760,5,93,0.8022692799568176,-1.0821039875348408,0.02044316940009594,0.11824833455805978,8e-05,40,0.2,-0.004920555773423985,0.005154188,0.030277506510416666,23.2,13786.70703125,,
2412,294912,6,122,0.8255205154418945,-1.0772577901681264,0.008225638419389725,0.07472753119654954,8e-05,50,0.2,-0.004371030376447985,0.004589508,0.019362386067708334,,,,
2203,344064,7,156,0.8560109883546829,-1.0739993259310723,-0.0026294123381376266,0.04274632483720779,8e-05,60,0.2,-0.005057121538751138,0.005446768,0.029604085286458335,,,,
2029,393216,8,193,0.8812827840447426,-1.069253725806872,-0.009056201204657555,0.02519063326374938,8e-05,70,0.2,-0.0054418328620765045,0.005235597,0.03177693684895833,8.3,8063.6171875,,
1876,442368,9,235,0.8965743407607079,-1.0642164240280787,-0.015320640057325363,0.014769570339315882,8e-05,80,0.2,-0.00493796484467263,0.004425269,0.025998942057291665,,,,
1798,491520,10,273,0.9020567536354065,-1.061143242319425,-0.013626426458358765,0.010240899651156118,8e-05,90,0.2,-0.005584837182929429,0.0048746965,0.024892171223958332,18.2,8366.1796875,20000.0,-1000.0
1879,540672,11,287,0.00510406494140625,-1.0630622530976932,305.9216003417969,1231.9375354131064,8e-05,100,0.2,-0.0005892890030130123,0.0043386384,0.023699951171875,,,20000.0,-1000.0
1939,589824,12,304,0.06492066383361816,-1.0622877314686776,236.3404083251953,968.3267388661702,8e-05,110,0.2,-0.0001402081271711116,0.00012441097,0.0,,,20000.0,-1000.0
1980,638976,13,322,0.3454843759536743,-1.0625953912734984,4.316539287567139,35.28185005734364,8e-05,120,0.2,-0.0005117527509961898,0.003652361,0.000958251953125,18.8,8577.67578125,20000.0,-1000.0
1996,688128,14,344,0.3214174509048462,-1.0624633878469467,8.798726081848145,9.831059058010577,8e-05,130,0.2,-0.0008468527012155391,0.0022730776,0.0005045572916666667,,,20000.0,-1000.0
1990,737280,15,370,0.7195584177970886,-1.0660789211591084,0.12856747210025787,0.2871285369619727,8e-05,140,0.2,-0.0013606135379329012,0.0047007618,0.005906168619791667,3.6,8978.1328125,20000.0,-1000.0
1967,786432,16,399,0.6542946100234985,-1.0621625259518623,0.06259456276893616,0.1950573271140456,8e-05,150,0.2,-0.001488416837916399,0.0022529473,0.0005391438802083334,,,20000.0,-1000.0
1928,835584,17,433,0.7239590287208557,-1.05840107301871,0.029670100659132004,0.10819105183084805,8e-05,160,0.2,-0.002709564586984925,0.004703019,0.014471435546875,,,20000.0,-1000.0
1869,884736,18,473,0.7307480275630951,-1.0594847306609154,0.014153508469462395,0.07663419006081919,8e-05,170,0.2,-0.0029055408071144485,0.0028748636,0.00701904296875,7.3,8843.54296875,20000.0,-1000.0
1789,933888,19,521,0.5786508917808533,-1.0565336356560389,-0.009401052258908749,0.03597378535972287,8e-05,180,0.2,-0.00549409662198741,0.0049067424,0.0273193359375,,,20000.0,-1000.0
1764,983040,20,557,0.7253288328647614,-1.0466585223873457,-0.02099042572081089,0.013257343609196445,8e-05,190,0.2,-0.007890916078273828,0.005211498,0.04418741861979167,46.4,9688.20703125,20000.0,-1000.0
1804,1032192,21,572,0.07333743572235107,-1.04225362688303,1120.8519287109375,1849.1505429585775,8e-05,200,0.2,-0.0003113482273571814,0.0032421853,0.011427815755208333,,,20000.0,-1000.0
1832,1081344,22,590,0.29085052013397217,-1.04044252683719,55.6018180847168,253.10707492828368,8e-05,210,0.2,-0.0009623399339034223,0.0046337172,0.0061279296875,3.6,10147.41015625,20000.0,-1000.0
1847,1130496,23,611,0.2667749524116516,-1.037690661350886,38.2075309753418,88.21704770723979,8e-05,220,0.2,-0.0007276248788305868,0.0030167152,0.00022786458333333334,,,20000.0,-1000.0
1855,1179648,24,635,-1.0997428894042969,-1.0319554309050243,0.04888327792286873,0.18134879463662704,8e-05,230,0.2,-0.0022364910301500155,0.0038728465,0.008607991536458333,,,20000.0,-1000.0
1852,1228800,25,663,-0.9534193277359009,-1.0358191018303236,0.0016973596066236496,0.06789511827131113,8e-05,240,0.2,-0.005799032517825253,0.0050069797,0.027085367838541666,16.1,10417.83203125,20000.0,-1000.0
1836,1277952,26,695,-1.1065318584442139,-1.0207932263612747,-0.007057218812406063,0.032403537941475706,8e-05,250,0.2,-0.0073139931346910695,0.004959343,0.0371337890625,,,20000.0,-1000.0
