time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/clip_fraction,train/clip_range,train/approx_kl,train/explained_variance,train/entropy_loss,train/n_updates,train/learning_rate,train/value_loss,train/loss,train/policy_gradient_loss,resources/memory_mb,resources/cpu_percent,rollout/ep_len_mean,rollout/ep_rew_mean
1,14,49152,3401,,,,,,,,,,,,,,
2,31,98304,3072,0.0,0.2,0.0026291634,-9.632110595703125e-05,-1.0975322584311167,10,5e-05,1904.6661657969157,803.2958374023438,-0.0005373741951189004,,,,
3,50,147456,2920,0.04195353190104167,0.2,0.0067561544,0.021554648876190186,-1.095442996919155,20,5e-05,121.90130117734273,85.1809310913086,-0.0015213196553910773,6562.95703125,7.1,,
4,72,196608,2721,0.028328450520833333,0.2,0.0059657954,0.8546209186315536,-1.0849651778737703,30,5e-05,0.2509592392792304,0.0725654810667038,-0.003303184725518804,,,,
5,97,245760,2527,0.014070638020833333,0.2,0.0048935437,0.47062063217163086,-1.0754811674356461,40,5e-05,3.7393641768954695,0.02646920457482338,-0.0018156772896569843,6729.33203125,0.0,,
6,125,294912,2354,0.010164388020833333,0.2,0.0048846663,0.6673837900161743,-1.0721169864137967,50,5e-05,1.1041992279856154,0.1257280558347702,-0.0016139154841463702,,,,
7,158,344064,2176,0.022544352213541667,0.2,0.0045346566,0.9360531717538834,-1.0733553936084113,60,5e-05,0.026345760414066412,-0.0053176069632172585,-0.0027028792290366256,,,,
8,194,393216,2018,0.034368896484375,0.2,0.004783386,0.9434251375496387,-1.0784428710738818,70,5e-05,0.017988769353056946,-0.010357612743973732,-0.002955343428766355,6996.5078125,1.8,,
9,235,442368,1878,0.03345540364583333,0.2,0.004866881,0.9417682774364948,-1.0719878559311231,80,5e-05,0.013482392726776501,-0.01169049646705389,-0.0035310778902688375,,,,
10,272,491520,1801,0.013077799479166667,0.2,0.003732985,0.9452246315777302,-1.06019323070844,90,5e-05,0.009674423021109154,-0.010457087308168411,-0.00330557976073275,7484.0703125,2.1,20000.0,-1000.0
11,286,540672,1884,0.0,0.2,0.0010047001,0.003770887851715088,-1.0568564663330713,100,5e-05,902.9593484560648,233.04006958007812,-0.00025092878446836644,,,20000.0,-1000.0
12,303,589824,1946,0.0,0.2,5.363133e-05,0.044004857540130615,-1.054167690873146,110,5e-05,838.0931307792664,554.6494750976562,-9.637659143966933e-05,,,20000.0,-1000.0
13,322,638976,1984,0.0035420735677083332,0.2,0.0058752582,0.1259368658065796,-1.0446338161826134,120,5e-05,160.08789444764454,143.8311767578125,-0.0008090210510999895,7288.17578125,0.0,20000.0,-1000.0
14,343,688128,2003,0.01673583984375,0.2,0.0060017756,0.33585524559020996,-1.0119531154632568,130,5e-05,10.230305577938756,4.661480903625488,-0.0015289987015421503,,,20000.0,-1000.0
15,369,737280,1997,0.003521728515625,0.2,0.0037875567,0.26157665252685547,-0.9967244642476241,140,5e-05,2.1536631991465884,1.189389705657959,-0.0008484325517201796,6329.74609375,0.0,20000.0,-1000.0
16,398,786432,1975,0.0025634765625,0.2,0.0033148043,-1.0263407230377197,-1.0030965303381285,150,5e-05,0.11938845058903098,0.03195597231388092,-0.0016271742148092016,,,20000.0,-1000.0
17,430,835584,1938,0.011431884765625,0.2,0.0038959857,-0.9174375534057617,-1.0144895017147064,160,5e-05,0.09662919385979572,0.027855224907398224,-0.001766879344844104,,,20000.0,-1000.0
18,468,884736,1888,0.006850179036458333,0.2,0.0040879822,-1.4881632328033447,-1.0053785050908723,170,5e-05,0.08843721753607194,0.029894761741161346,-0.0016577006191558516,6906.24609375,4.2,20000.0,-1000.0
19,510,933888,1829,0.0146728515625,0.2,0.003390912,-1.5087828636169434,-1.014871071279049,180,5e-05,0.053632099103803434,0.002859337255358696,-0.0026502695448774225,,,20000.0,-1000.0
20,541,983040,1815,0.022998046875,0.2,0.004073449,-0.40313029289245605,-1.0247015168269475,190,5e-05,0.03463271311484277,-0.004590792581439018,-0.004501886350044515,7189.33203125,12.7,20000.0,-1000.0
21,557,1032192,1851,2.0345052083333333e-06,0.2,0.0021225957,0.09760242700576782,-1.000904176135858,200,5e-05,801.3935719807943,384.7746887207031,-0.0005935405196699624,,,20000.0,-1000.0
22,575,1081344,1877,0.0,0.2,0.0008560675,0.09847205877304077,-0.9868507117033005,210,5e-05,908.1856220245361,573.917236328125,-0.0003921128241927363,7582.83984375,0.0,20000.0,-1000.0
